role,path,exists,size_bytes,mtime,sha256_16,n_rows,n_cols,index_names,column_sample,date_level,date_min,date_max,n_unique_dates,covers_valid_period_tolerance,coverage_note,has_nav_col,error
pipeline_a_signal_ic_ir,data/processed/composite_signal_ic_ir.parquet,True,1338170,2026-05-25T22:25:43,37a58f5e6454e00f,132,1329,"[""rebalance_date""]","[""000006.SZ"", ""000008.SZ"", ""000009.SZ"", ""000012.SZ"", ""000021.SZ"", ""000025.SZ"", ""000027.SZ"", ""000028.SZ"", ""000029.SZ"", ""000030.SZ"", ""000031.SZ"", ""000039.SZ"", ""000042.SZ"", ""000046.SZ"", ""000049.SZ"", ""000050.SZ"", ""000060.SZ"", ""000061.SZ"", ""000062.SZ"", ""000066.SZ""]",rebalance_date,2012-01-31,2022-12-30,132,True,,False,
pipeline_b_ridge_expanding_signal,experiments/ridge_signal/results/ridge_composite_panel.parquet,True,1183240,2026-05-25T00:09:35,ff2dd7bcc90a5e6c,105,1329,"[""rebalance_date""]","[""000006.SZ"", ""000008.SZ"", ""000009.SZ"", ""000012.SZ"", ""000021.SZ"", ""000025.SZ"", ""000027.SZ"", ""000028.SZ"", ""000029.SZ"", ""000030.SZ"", ""000031.SZ"", ""000039.SZ"", ""000042.SZ"", ""000046.SZ"", ""000049.SZ"", ""000050.SZ"", ""000060.SZ"", ""000061.SZ"", ""000062.SZ"", ""000066.SZ""]",rebalance_date,2014-03-31,2022-11-30,105,False,截至验证期最后一个实际持有期所需调仓日附近；VALID_END 月末调仓的执行日落在验证期之后,False,
pipeline_b_ridge_expanding_coef,experiments/ridge_signal/results/ridge_coef_history.parquet,True,23213,2026-05-25T00:09:35,c009c3186aea5176,105,16,"[""rebalance_date""]","[""turn_20d"", ""ivol_60d"", ""piotroski_f"", ""hk_hold_ratio"", ""roe_delta_3q"", ""hk_hold_chg"", ""amihud"", ""q_roe"", ""roe_delta"", ""ep_ttm"", ""rev_yoy"", ""cfp"", ""gross_margin_trend"", ""holder_chg"", ""analyst_eps_revision"", ""gross_margin""]",rebalance_date,2014-03-31,2022-11-30,105,False,截至验证期最后一个实际持有期所需调仓日附近；VALID_END 月末调仓的执行日落在验证期之后,False,
pipeline_b_nav_valid,experiments/turnover_lambda_grid/results/lam_0050/backtest_nav_valid.parquet,True,15753,2026-05-25T09:15:57,70f6d6e75958f7b0,485,2,"[""trade_date""]","[""strategy"", ""benchmark""]",trade_date,2021-01-04,2022-12-30,485,True,,False,
pipeline_b_metrics_valid,experiments/turnover_lambda_grid/results/lam_0050/backtest_metrics_valid.parquet,True,2378,2026-05-25T09:15:57,3abdc6f18a984f43,11,1,[null],"[""value""]",,,,0,False,未检测到日期索引或日期列,False,
pipeline_b_weights_optimized,experiments/turnover_lambda_grid/results/lam_0050/weights_optimized.parquet,True,1070374,2026-05-25T09:15:57,b8269eca82330720,144,1358,"[""rebalance_date""]","[""000005.SZ"", ""000006.SZ"", ""000008.SZ"", ""000009.SZ"", ""000012.SZ"", ""000016.SZ"", ""000021.SZ"", ""000025.SZ"", ""000027.SZ"", ""000028.SZ"", ""000029.SZ"", ""000030.SZ"", ""000031.SZ"", ""000039.SZ"", ""000042.SZ"", ""000046.SZ"", ""000049.SZ"", ""000050.SZ"", ""000060.SZ"", ""000061.SZ""]",rebalance_date,2011-08-23,2022-12-30,144,True,,False,
rolling_48m_signal,experiments/ridge_rolling/results/rolling_48m_composite_panel.parquet,True,1183240,2026-05-26T18:06:30,4385d46952976799,105,1329,"[""rebalance_date""]","[""000006.SZ"", ""000008.SZ"", ""000009.SZ"", ""000012.SZ"", ""000021.SZ"", ""000025.SZ"", ""000027.SZ"", ""000028.SZ"", ""000029.SZ"", ""000030.SZ"", ""000031.SZ"", ""000039.SZ"", ""000042.SZ"", ""000046.SZ"", ""000049.SZ"", ""000050.SZ"", ""000060.SZ"", ""000061.SZ"", ""000062.SZ"", ""000066.SZ""]",rebalance_date,2014-03-31,2022-11-30,105,False,截至验证期最后一个实际持有期所需调仓日附近；VALID_END 月末调仓的执行日落在验证期之后,False,
rolling_48m_coef,experiments/ridge_rolling/results/rolling_48m_coef_history.parquet,True,23597,2026-05-26T18:06:30,cb41d4b48cf75394,105,16,"[""rebalance_date""]","[""turn_20d"", ""ivol_60d"", ""piotroski_f"", ""hk_hold_ratio"", ""roe_delta_3q"", ""hk_hold_chg"", ""amihud"", ""q_roe"", ""roe_delta"", ""ep_ttm"", ""rev_yoy"", ""cfp"", ""gross_margin_trend"", ""holder_chg"", ""analyst_eps_revision"", ""gross_margin""]",rebalance_date,2014-03-31,2022-11-30,105,False,截至验证期最后一个实际持有期所需调仓日附近；VALID_END 月末调仓的执行日落在验证期之后,False,
rolling_48m_nav_valid,experiments/ridge_rolling/results/rolling_48m/backtest_nav_valid.parquet,True,15753,2026-05-26T18:13:58,54b83b5aa56529c7,485,2,"[""trade_date""]","[""strategy"", ""benchmark""]",trade_date,2021-01-04,2022-12-30,485,True,,False,
rolling_48m_metrics_valid,experiments/ridge_rolling/results/rolling_48m/backtest_metrics_valid.parquet,True,2378,2026-05-26T18:13:58,a5da5446a1cc6ed6,11,1,[null],"[""value""]",,,,0,False,未检测到日期索引或日期列,False,
index_quote,data/processed/index_quote.parquet,True,169790,2026-05-23T00:24:15,cc37aa87eb428cef,3644,4,"[""trade_date""]","[""close"", ""pct_chg"", ""index_ret"", ""nav""]",trade_date,2011-01-04,2025-12-31,3644,True,,True,
