factor,path,n_dates,n_cols,date_min,date_max,dates_after_valid_end,dates_in_test_period,status
accrual,data/processed/factor_panels/accrual.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
amihud,data/processed/factor_panels/amihud.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
analyst_cnt_chg,data/processed/factor_panels/analyst_cnt_chg.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
analyst_eps_revision,data/processed/factor_panels/analyst_eps_revision.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
analyst_rating_chg,data/processed/factor_panels/analyst_rating_chg.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
asset_turn,data/processed/factor_panels/asset_turn.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
boll_pct,data/processed/factor_panels/boll_pct.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
bp,data/processed/factor_panels/bp.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
cfp,data/processed/factor_panels/cfp.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
chip_winner_rate,data/processed/factor_panels/chip_winner_rate.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
cost_deviation,data/processed/factor_panels/cost_deviation.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
ep_ttm,data/processed/factor_panels/ep_ttm.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
ep_vs_history,data/processed/factor_panels/ep_vs_history.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
eps_dispersion,data/processed/factor_panels/eps_dispersion.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
fcfp,data/processed/factor_panels/fcfp.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
float_pct_30d,data/processed/factor_panels/float_pct_30d.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
garp,data/processed/factor_panels/garp.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
gross_margin,data/processed/factor_panels/gross_margin.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
gross_margin_trend,data/processed/factor_panels/gross_margin_trend.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
high_52w,data/processed/factor_panels/high_52w.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
high_52w_v2,data/processed/factor_panels/high_52w_v2.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
hk_hold_chg,data/processed/factor_panels/hk_hold_chg.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
hk_hold_ratio,data/processed/factor_panels/hk_hold_ratio.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
holder_chg,data/processed/factor_panels/holder_chg.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
ind_adj_mom,data/processed/factor_panels/ind_adj_mom.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
ind_adj_mom_6_1,data/processed/factor_panels/ind_adj_mom_6_1.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
insider_net_buy,data/processed/factor_panels/insider_net_buy.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
ivol_60d,data/processed/factor_panels/ivol_60d.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
large_net_inflow,data/processed/factor_panels/large_net_inflow.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
leverage,data/processed/factor_panels/leverage.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
macd_cross,data/processed/factor_panels/macd_cross.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
margin_ratio,data/processed/factor_panels/margin_ratio.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
max_ret,data/processed/factor_panels/max_ret.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
mom_12_1,data/processed/factor_panels/mom_12_1.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
mom_6_1,data/processed/factor_panels/mom_6_1.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
mom_consistency_6,data/processed/factor_panels/mom_consistency_6.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
mom_risk_adj,data/processed/factor_panels/mom_risk_adj.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
north_flow_5d,data/processed/factor_panels/north_flow_5d.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
np_yoy,data/processed/factor_panels/np_yoy.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
obv_chg_20d,data/processed/factor_panels/obv_chg_20d.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
piotroski_f,data/processed/factor_panels/piotroski_f.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
pledge_ratio,data/processed/factor_panels/pledge_ratio.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
q_roe,data/processed/factor_panels/q_roe.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
ret_1m,data/processed/factor_panels/ret_1m.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
rev_acceleration,data/processed/factor_panels/rev_acceleration.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
rev_yoy,data/processed/factor_panels/rev_yoy.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
roa,data/processed/factor_panels/roa.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
roe,data/processed/factor_panels/roe.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
roe_delta,data/processed/factor_panels/roe_delta.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
roe_delta_3q,data/processed/factor_panels/roe_delta_3q.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
roe_smoothed_4q,data/processed/factor_panels/roe_smoothed_4q.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
roe_stability,data/processed/factor_panels/roe_stability.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
rsi_12,data/processed/factor_panels/rsi_12.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
rsi_6,data/processed/factor_panels/rsi_6.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
short_ratio,data/processed/factor_panels/short_ratio.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
sp_ttm,data/processed/factor_panels/sp_ttm.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
turn_20d,data/processed/factor_panels/turn_20d.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
vol_60d,data/processed/factor_panels/vol_60d.parquet,132,1329,2012-01-31,2022-12-30,0,0,PASS
