rebalance_date,next_rebalance_date,entry_date,exit_date,entry_after_T,exit_after_next_T,exit_after_valid_end
2012-01-31,2012-02-29,2012-02-01,2012-03-01,True,True,False
2012-02-29,2012-03-30,2012-03-01,2012-04-05,True,True,False
2012-03-30,2012-04-27,2012-04-05,2012-05-02,True,True,False
2012-04-27,2012-05-31,2012-05-02,2012-06-01,True,True,False
2012-05-31,2012-06-29,2012-06-01,2012-07-02,True,True,False
2012-06-29,2012-07-31,2012-07-02,2012-08-01,True,True,False
2012-07-31,2012-08-31,2012-08-01,2012-09-03,True,True,False
2012-08-31,2012-09-28,2012-09-03,2012-10-08,True,True,False
2012-09-28,2012-10-31,2012-10-08,2012-11-01,True,True,False
2012-10-31,2012-11-30,2012-11-01,2012-12-03,True,True,False
2012-11-30,2012-12-31,2012-12-03,2013-01-04,True,True,False
2012-12-31,2013-01-31,2013-01-04,2013-02-01,True,True,False
2013-01-31,2013-02-28,2013-02-01,2013-03-01,True,True,False
2013-02-28,2013-03-29,2013-03-01,2013-04-01,True,True,False
2013-03-29,2013-04-26,2013-04-01,2013-05-02,True,True,False
2013-04-26,2013-05-31,2013-05-02,2013-06-03,True,True,False
2013-05-31,2013-06-28,2013-06-03,2013-07-01,True,True,False
2013-06-28,2013-07-31,2013-07-01,2013-08-01,True,True,False
2013-07-31,2013-08-30,2013-08-01,2013-09-02,True,True,False
2013-08-30,2013-09-30,2013-09-02,2013-10-08,True,True,False
2013-09-30,2013-10-31,2013-10-08,2013-11-01,True,True,False
2013-10-31,2013-11-29,2013-11-01,2013-12-02,True,True,False
2013-11-29,2013-12-31,2013-12-02,2014-01-02,True,True,False
2013-12-31,2014-01-30,2014-01-02,2014-02-07,True,True,False
2014-01-30,2014-02-28,2014-02-07,2014-03-03,True,True,False
2014-02-28,2014-03-31,2014-03-03,2014-04-01,True,True,False
2014-03-31,2014-04-30,2014-04-01,2014-05-05,True,True,False
2014-04-30,2014-05-30,2014-05-05,2014-06-03,True,True,False
2014-05-30,2014-06-30,2014-06-03,2014-07-01,True,True,False
2014-06-30,2014-07-31,2014-07-01,2014-08-01,True,True,False
2014-07-31,2014-08-29,2014-08-01,2014-09-01,True,True,False
2014-08-29,2014-09-30,2014-09-01,2014-10-08,True,True,False
2014-09-30,2014-10-31,2014-10-08,2014-11-03,True,True,False
2014-10-31,2014-11-28,2014-11-03,2014-12-01,True,True,False
2014-11-28,2014-12-31,2014-12-01,2015-01-05,True,True,False
2014-12-31,2015-01-30,2015-01-05,2015-02-02,True,True,False
2015-01-30,2015-02-27,2015-02-02,2015-03-02,True,True,False
2015-02-27,2015-03-31,2015-03-02,2015-04-01,True,True,False
2015-03-31,2015-04-30,2015-04-01,2015-05-04,True,True,False
2015-04-30,2015-05-29,2015-05-04,2015-06-01,True,True,False
2015-05-29,2015-06-30,2015-06-01,2015-07-01,True,True,False
2015-06-30,2015-07-31,2015-07-01,2015-08-03,True,True,False
2015-07-31,2015-08-31,2015-08-03,2015-09-01,True,True,False
2015-08-31,2015-09-30,2015-09-01,2015-10-08,True,True,False
2015-09-30,2015-10-30,2015-10-08,2015-11-02,True,True,False
2015-10-30,2015-11-30,2015-11-02,2015-12-01,True,True,False
2015-11-30,2015-12-31,2015-12-01,2016-01-04,True,True,False
2015-12-31,2016-01-29,2016-01-04,2016-02-01,True,True,False
2016-01-29,2016-02-29,2016-02-01,2016-03-01,True,True,False
2016-02-29,2016-03-31,2016-03-01,2016-04-01,True,True,False
2016-03-31,2016-04-29,2016-04-01,2016-05-03,True,True,False
2016-04-29,2016-05-31,2016-05-03,2016-06-01,True,True,False
2016-05-31,2016-06-30,2016-06-01,2016-07-01,True,True,False
2016-06-30,2016-07-29,2016-07-01,2016-08-01,True,True,False
2016-07-29,2016-08-31,2016-08-01,2016-09-01,True,True,False
2016-08-31,2016-09-30,2016-09-01,2016-10-10,True,True,False
2016-09-30,2016-10-31,2016-10-10,2016-11-01,True,True,False
2016-10-31,2016-11-30,2016-11-01,2016-12-01,True,True,False
2016-11-30,2016-12-30,2016-12-01,2017-01-03,True,True,False
2016-12-30,2017-01-26,2017-01-03,2017-02-03,True,True,False
2017-01-26,2017-02-28,2017-02-03,2017-03-01,True,True,False
2017-02-28,2017-03-31,2017-03-01,2017-04-05,True,True,False
2017-03-31,2017-04-28,2017-04-05,2017-05-02,True,True,False
2017-04-28,2017-05-31,2017-05-02,2017-06-01,True,True,False
2017-05-31,2017-06-30,2017-06-01,2017-07-03,True,True,False
2017-06-30,2017-07-31,2017-07-03,2017-08-01,True,True,False
2017-07-31,2017-08-31,2017-08-01,2017-09-01,True,True,False
2017-08-31,2017-09-29,2017-09-01,2017-10-09,True,True,False
2017-09-29,2017-10-31,2017-10-09,2017-11-01,True,True,False
2017-10-31,2017-11-30,2017-11-01,2017-12-01,True,True,False
2017-11-30,2017-12-29,2017-12-01,2018-01-02,True,True,False
2017-12-29,2018-01-31,2018-01-02,2018-02-01,True,True,False
2018-01-31,2018-02-28,2018-02-01,2018-03-01,True,True,False
2018-02-28,2018-03-30,2018-03-01,2018-04-02,True,True,False
2018-03-30,2018-04-27,2018-04-02,2018-05-02,True,True,False
2018-04-27,2018-05-31,2018-05-02,2018-06-01,True,True,False
2018-05-31,2018-06-29,2018-06-01,2018-07-02,True,True,False
2018-06-29,2018-07-31,2018-07-02,2018-08-01,True,True,False
2018-07-31,2018-08-31,2018-08-01,2018-09-03,True,True,False
2018-08-31,2018-09-28,2018-09-03,2018-10-08,True,True,False
2018-09-28,2018-10-31,2018-10-08,2018-11-01,True,True,False
2018-10-31,2018-11-30,2018-11-01,2018-12-03,True,True,False
2018-11-30,2018-12-28,2018-12-03,2019-01-02,True,True,False
2018-12-28,2019-01-31,2019-01-02,2019-02-01,True,True,False
2019-01-31,2019-02-28,2019-02-01,2019-03-01,True,True,False
2019-02-28,2019-03-29,2019-03-01,2019-04-01,True,True,False
2019-03-29,2019-04-30,2019-04-01,2019-05-06,True,True,False
2019-04-30,2019-05-31,2019-05-06,2019-06-03,True,True,False
2019-05-31,2019-06-28,2019-06-03,2019-07-01,True,True,False
2019-06-28,2019-07-31,2019-07-01,2019-08-01,True,True,False
2019-07-31,2019-08-30,2019-08-01,2019-09-02,True,True,False
2019-08-30,2019-09-30,2019-09-02,2019-10-08,True,True,False
2019-09-30,2019-10-31,2019-10-08,2019-11-01,True,True,False
2019-10-31,2019-11-29,2019-11-01,2019-12-02,True,True,False
2019-11-29,2019-12-31,2019-12-02,2020-01-02,True,True,False
2019-12-31,2020-01-23,2020-01-02,2020-02-03,True,True,False
2020-01-23,2020-02-28,2020-02-03,2020-03-02,True,True,False
2020-02-28,2020-03-31,2020-03-02,2020-04-01,True,True,False
2020-03-31,2020-04-30,2020-04-01,2020-05-06,True,True,False
2020-04-30,2020-05-29,2020-05-06,2020-06-01,True,True,False
2020-05-29,2020-06-30,2020-06-01,2020-07-01,True,True,False
2020-06-30,2020-07-31,2020-07-01,2020-08-03,True,True,False
2020-07-31,2020-08-31,2020-08-03,2020-09-01,True,True,False
2020-08-31,2020-09-30,2020-09-01,2020-10-09,True,True,False
2020-09-30,2020-10-30,2020-10-09,2020-11-02,True,True,False
2020-10-30,2020-11-30,2020-11-02,2020-12-01,True,True,False
2020-11-30,2020-12-31,2020-12-01,2021-01-04,True,True,False
2020-12-31,2021-01-29,2021-01-04,2021-02-01,True,True,False
2021-01-29,2021-02-26,2021-02-01,2021-03-01,True,True,False
2021-02-26,2021-03-31,2021-03-01,2021-04-01,True,True,False
