source_id,rebalance_date,period,year,n_obs,ic
ic_ir,2012-01-31,train,2012,466,-0.06014552202402106
ic_ir,2012-02-29,train,2012,466,0.24186155636406112
ic_ir,2012-03-30,train,2012,447,-0.007107312853061148
ic_ir,2012-04-27,train,2012,426,0.11768950311567876
ic_ir,2012-05-31,train,2012,466,0.2849728146474923
ic_ir,2012-06-29,train,2012,465,0.3233380322643389
ic_ir,2012-07-31,train,2012,494,0.04514417070121206
ic_ir,2012-08-31,train,2012,486,0.010628078991213234
ic_ir,2012-09-28,train,2012,486,0.11063667864110213
ic_ir,2012-10-31,train,2012,484,0.09993368102290641
ic_ir,2012-11-30,train,2012,476,-0.04360654454498217
ic_ir,2012-12-31,train,2012,482,0.14066763021968534
ic_ir,2013-01-31,train,2013,481,-0.008164099356787108
ic_ir,2013-02-28,train,2013,485,0.19101909625606991
ic_ir,2013-03-29,train,2013,483,0.123451839272881
ic_ir,2013-04-26,train,2013,479,-0.08813439917995126
ic_ir,2013-05-31,train,2013,478,0.28184752698164267
ic_ir,2013-06-28,train,2013,475,0.059594484810697325
ic_ir,2013-07-31,train,2013,480,0.05168196265340038
ic_ir,2013-08-30,train,2013,478,-0.013840958479218587
ic_ir,2013-09-30,train,2013,475,0.23016585559645145
ic_ir,2013-10-31,train,2013,477,-0.031216719090586237
ic_ir,2013-11-29,train,2013,473,0.24310452432618157
ic_ir,2013-12-31,train,2013,483,0.045974366180045925
ic_ir,2014-01-30,train,2014,477,-0.023567830778391776
ic_ir,2014-02-28,train,2014,469,0.1929592798504346
ic_ir,2014-03-31,train,2014,454,0.16367571396676905
ic_ir,2014-04-30,train,2014,464,-0.018726963718443766
ic_ir,2014-05-30,train,2014,461,-0.04520374185080578
ic_ir,2014-06-30,train,2014,466,0.008480706707970126
ic_ir,2014-07-31,train,2014,461,0.009457324714067657
ic_ir,2014-08-29,train,2014,460,-0.012772074478907755
ic_ir,2014-09-30,train,2014,450,0.07878893049569942
ic_ir,2014-10-31,train,2014,440,0.11336675410726395
ic_ir,2014-11-28,train,2014,436,0.03452966901387549
ic_ir,2014-12-31,train,2014,446,0.12645700186676434
