method,metric,bootstrap_n,sample_months,mean,ci_2p5,ci_97p5,prob_gt_0
ordinary_month_bootstrap,mean_monthly_diff,10000,23,0.001861400628994427,-0.0020490986050925525,0.005901358924202344,0.8161
ordinary_month_bootstrap,sum_monthly_diff,10000,23,0.04281221446687182,-0.047129267917128716,0.13573125525665392,0.8161
ordinary_month_bootstrap,pipeline_monthly_ir_sqrt12,10000,23,0.35539588474876643,-1.1625595191851317,1.835439238261508,0.6905
ordinary_month_bootstrap,rolling_monthly_ir_sqrt12,10000,23,0.7768095102392495,-0.6620263969626984,2.3694867981939494,0.8529
ordinary_month_bootstrap,monthly_ir_diff_sqrt12,10000,23,0.42141362549048306,-0.4812983970516953,1.4368952165158437,0.8045
circular_block_bootstrap_3m,mean_monthly_diff,10000,23,0.001873964301503751,-0.0015837969082733714,0.005472379770392611,0.8456
circular_block_bootstrap_3m,sum_monthly_diff,10000,23,0.04310117893458628,-0.03642732889028754,0.12586473471903006,0.8456
circular_block_bootstrap_3m,pipeline_monthly_ir_sqrt12,10000,23,0.3677135482010103,-0.6467635923154673,1.4211824262002488,0.7595
circular_block_bootstrap_3m,rolling_monthly_ir_sqrt12,10000,23,0.7856422926539893,-0.4658511428209222,2.092073708508419,0.8911
circular_block_bootstrap_3m,monthly_ir_diff_sqrt12,10000,23,0.41792874445297895,-0.3775726077936905,1.2522547700386248,0.8484
