component,label,period,n,ic_mean,ic_std,ic_ir,t_stat,p_value,pct_positive
f1_roa_pos,F1: ROA>0（盈利能力）,2012-2015,48,0.011545073962097177,0.0669800414493155,0.17236588261644262,1.194185864732527,0.23839754382452105,0.5625
f1_roa_pos,F1: ROA>0（盈利能力）,2016-2018,36,0.028497755554530206,0.0838251316817473,0.3399667257634087,2.039800354580452,0.04897406879336355,0.6388888888888888
f1_roa_pos,F1: ROA>0（盈利能力）,2019-2020,22,0.03306603305536484,0.08319051255047231,0.39747360656425124,1.8643164683428215,0.0763172960227712,0.6818181818181818
f1_roa_pos,F1: ROA>0（盈利能力）,2021-2022,22,-0.006537366151165397,0.05878966346554978,-0.11119924431947524,-0.5215706880365226,0.6074269130874177,0.5454545454545454
f2_cfo_pos,F2: TTM CFO>0（现金流入）,2012-2015,48,0.005583598029814431,0.06287954144444936,0.08879832615743921,0.6152128501270285,0.5413817054366294,0.5208333333333334
f2_cfo_pos,F2: TTM CFO>0（现金流入）,2016-2018,36,0.026911014021217112,0.05730612050466982,0.46960104408087017,2.817606264485221,0.007903006727192284,0.6666666666666666
f2_cfo_pos,F2: TTM CFO>0（现金流入）,2019-2020,22,0.03841236580638524,0.06391070180274105,0.6010318260147439,2.8190891488950087,0.010279679443973027,0.8181818181818182
f2_cfo_pos,F2: TTM CFO>0（现金流入）,2021-2022,22,-0.008307791972097625,0.04591592914038152,-0.18093485480164662,-0.8486596944630073,0.4056410357521716,0.3181818181818182
f3_delta_roa_pos,F3: ΔROA>0（盈利同比改善）,2012-2015,48,0.035996533934873655,0.07130884984238355,0.5047975674048601,3.497340137129571,0.0010380232453729439,0.6875
f3_delta_roa_pos,F3: ΔROA>0（盈利同比改善）,2016-2018,36,0.027261855909838137,0.07546367736242703,0.36125798347870697,2.1675479008722416,0.037080384628436505,0.6944444444444444
f3_delta_roa_pos,F3: ΔROA>0（盈利同比改善）,2019-2020,22,0.03539798012289632,0.07521195203551849,0.47064301836202566,2.2075114305761128,0.03853941355991539,0.7727272727272727
f3_delta_roa_pos,F3: ΔROA>0（盈利同比改善）,2021-2022,22,-0.010101962170584023,0.07884775027516348,-0.12811985294862718,-0.6009353774165013,0.5543145448868411,0.4090909090909091
f4_cfo_gt_ni,F4: CFO>NI（利润含金量）,2012-2015,48,-0.008230006270670573,0.07200918307284379,-0.11429106565957259,-0.7918317302942811,0.43243714863239513,0.4791666666666667
f4_cfo_gt_ni,F4: CFO>NI（利润含金量）,2016-2018,36,0.019329299144828182,0.0653245061420549,0.2958965981739628,1.775379589043777,0.08453210413831265,0.6388888888888888
f4_cfo_gt_ni,F4: CFO>NI（利润含金量）,2019-2020,22,-0.005836994172050325,0.04719474622224477,-0.12367889731970032,-0.5801054491459061,0.5680163549750461,0.45454545454545453
f4_cfo_gt_ni,F4: CFO>NI（利润含金量）,2021-2022,22,0.026841974080736488,0.06922821453007484,0.38773171116634125,1.8186229286379132,0.08326099276679438,0.6363636363636364
f5_deleverage,F5: Δ负债率<0（去杠杆）,2012-2015,48,-0.012754602008841038,0.03983741127636997,-0.320166436527631,-2.2181781397765317,0.031411379138243316,0.4166666666666667
f5_deleverage,F5: Δ负债率<0（去杠杆）,2016-2018,36,-0.005416145586831419,0.039170900522105846,-0.13826962144449173,-0.8296177286669504,0.41237775319088565,0.4722222222222222
f5_deleverage,F5: Δ负债率<0（去杠杆）,2019-2020,22,-0.010378096978895248,0.031986942635872255,-0.3244479191723866,-1.5217956333280802,0.14297658354566767,0.36363636363636365
f5_deleverage,F5: Δ负债率<0（去杠杆）,2021-2022,22,-0.01718216052210709,0.04971752635362297,-0.34559564367495943,-1.6209872536193521,0.11994001435076782,0.36363636363636365
f8_margin_improve,F8: Δ毛利率>0（护城河）,2012-2015,48,0.03000739249824763,0.05265162736454827,0.5699233623014737,3.948544879706549,0.0002618593145444557,0.6875
f8_margin_improve,F8: Δ毛利率>0（护城河）,2016-2018,36,0.01991929134975834,0.05635314681731976,0.35347256497194013,2.1208353898316408,0.041094479491814925,0.6388888888888888
f8_margin_improve,F8: Δ毛利率>0（护城河）,2019-2020,22,0.02895048920174975,0.04375050183676342,0.6617178771975306,3.1037319597642026,0.005376588828444233,0.8181818181818182
f8_margin_improve,F8: Δ毛利率>0（护城河）,2021-2022,22,-0.0007912792777825566,0.07344142143721571,-0.010774291432512819,-0.05053590633598869,0.9601729371133438,0.45454545454545453
f9_turnover_improve,F9: Δ周转率>0（运营效率）,2012-2015,48,0.029687647206409918,0.06479870040720397,0.45815189224241615,3.1741694197907444,0.002650701740396447,0.6666666666666666
f9_turnover_improve,F9: Δ周转率>0（运营效率）,2016-2018,36,0.023462239550241203,0.05962680191086803,0.3934847886913888,2.360908732148333,0.023929425033519826,0.6388888888888888
f9_turnover_improve,F9: Δ周转率>0（运营效率）,2019-2020,22,0.016125026760200226,0.049931179639448466,0.3229450390845671,1.514746500879047,0.14474404762763174,0.7727272727272727
f9_turnover_improve,F9: Δ周转率>0（运营效率）,2021-2022,22,0.0007953838169451314,0.0809502821871189,0.009825584240788424,0.04608607517246675,0.9636770983496078,0.4090909090909091
