period,industry_code,industry_name,n,ic_mean,ic_ir,t_stat,p_value,pct_positive
2012-2015,801010.SI,农林牧渔,48,0.07017012222532931,0.21803497344543382,1.5105906073376894,0.13758735137694605,0.4791666666666667
2012-2015,801030.SI,基础化工,48,0.03549947626831768,0.15801647910529484,1.0947702809740663,0.2791960348208955,0.4791666666666667
2012-2015,801040.SI,钢铁,12,0.07196137196137196,0.17070629888083513,0.5913439656672892,0.5662435901622545,0.5
2012-2015,801050.SI,有色金属,48,-0.007356709903107469,-0.03622242638510901,-0.25095633148972907,0.8029417977788544,0.4166666666666667
2012-2015,801080.SI,电子,48,0.01839366532487643,0.10067940163089413,0.697527355601366,0.4889091970152031,0.5416666666666666
2012-2015,801110.SI,家用电器,7,0.05541125541125539,0.139991741209369,0.3703833328429029,0.7238203568177625,0.42857142857142855
2012-2015,801120.SI,食品饮料,48,0.06583606344635756,0.23272529892916266,1.612368167807858,0.1135774714209409,0.5833333333333334
2012-2015,801130.SI,纺织服饰,43,0.04129279293437981,0.1616365040057856,1.0599214383010331,0.29523791017693257,0.5813953488372093
2012-2015,801140.SI,轻工制造,46,0.0440736513677017,0.15840815665130276,1.074376390427735,0.2883812730613808,0.5652173913043478
2012-2015,801150.SI,医药生物,48,0.04890150137608324,0.2510951386969367,1.739638151026594,0.08846825376106758,0.625
2012-2015,801160.SI,公用事业,48,0.002259976252011025,0.0076792530237916766,0.05320342560553646,0.9577953256537394,0.5625
2012-2015,801170.SI,交通运输,48,0.05499654904114395,0.22336039765259103,1.5474862285323032,0.12845383137796829,0.5833333333333334
2012-2015,801180.SI,房地产,48,0.023703953505662807,0.14036640463142724,0.9724869779896134,0.3357869125153031,0.5416666666666666
2012-2015,801200.SI,商贸零售,48,0.03559355366500507,0.16993684122347394,1.1773569723072883,0.24498085328173672,0.5625
2012-2015,801710.SI,建筑材料,22,-0.019722701540883358,-0.061803797007038946,-0.2898855034987436,0.7747468170353512,0.5909090909090909
2012-2015,801720.SI,建筑装饰,22,0.12120190415644962,0.6107262523035909,2.864560038742663,0.009279214046953543,0.6818181818181818
2012-2015,801730.SI,电力设备,23,0.003413835747966455,0.0098139047815291,0.04706583391804668,0.9628854027755458,0.5217391304347826
2012-2015,801750.SI,计算机,23,0.018357106168386296,0.06313561837139296,0.302787788829368,0.7648960354382326,0.5652173913043478
2012-2015,801760.SI,传媒,23,0.014443335862773231,0.04853551610940611,0.23276815815774213,0.8180933415666021,0.6086956521739131
2012-2015,801770.SI,通信,10,0.1989044289044289,1.2912192096050286,4.0831936609142545,0.002744855006747691,1.0
2012-2015,801880.SI,汽车,23,0.11345529106331369,0.4033017073966933,1.934167041738904,0.06605793306682994,0.6956521739130435
2012-2015,801890.SI,机械设备,23,0.07022800900152547,0.3617169237375293,1.7347334253761457,0.09677867927798187,0.6521739130434783
2012-2015,801950.SI,煤炭,15,0.0731934731934732,0.2860539108921161,1.1078820330026662,0.2865841052966259,0.6666666666666666
2012-2015,999999.SI,未分类,25,0.03783302166803151,0.35842975103719643,1.7921487551859823,0.08572636698320218,0.6
2016-2018,801010.SI,农林牧渔,36,0.17610722610722612,0.4936933909518686,2.9621603457112116,0.005459496604323786,0.6388888888888888
2016-2018,801030.SI,基础化工,36,0.04716268847644281,0.2725810379918881,1.6354862279513287,0.1109102616146829,0.5833333333333334
2016-2018,801050.SI,有色金属,36,0.037347181741447466,0.19060496745862826,1.1436298047517695,0.26053913359887376,0.5277777777777778
2016-2018,801080.SI,电子,36,0.10230606629581963,0.47959091148258354,2.877545468895501,0.006786294485125632,0.7222222222222222
2016-2018,801120.SI,食品饮料,36,0.04940594607777271,0.16502590837895614,0.9901554502737369,0.32889439508426377,0.5
2016-2018,801130.SI,纺织服饰,11,-0.12364302364302365,-0.5638509850848321,-1.870082155198667,0.09099567109264034,0.36363636363636365
2016-2018,801140.SI,轻工制造,30,0.012716172716172702,0.037014500502277635,0.20273676879883762,0.8407564872043118,0.5333333333333333
2016-2018,801150.SI,医药生物,36,0.07493345049202588,0.45810757946415315,2.748645476784919,0.009399282423248514,0.6666666666666666
2016-2018,801160.SI,公用事业,36,-0.009357237046865528,-0.031476062171598596,-0.18885637302959157,0.8512962530225205,0.5
2016-2018,801170.SI,交通运输,36,0.015481719003390827,0.05985076981179363,0.3591046188707618,0.7216742479793493,0.3888888888888889
2016-2018,801180.SI,房地产,36,0.036098551746921004,0.17343921398839235,1.040635283930354,0.30518036251936964,0.5555555555555556
2016-2018,801200.SI,商贸零售,36,0.051906423700238485,0.2294463269295834,1.3766779615775002,0.17735511574978752,0.5833333333333334
2016-2018,801710.SI,建筑材料,23,0.07021384412688762,0.20348950942799063,0.9759014039781982,0.3397229435468031,0.6086956521739131
2016-2018,801720.SI,建筑装饰,28,0.03434105334880259,0.1423856089007104,0.7534338228515691,0.4577094155762411,0.5714285714285714
2016-2018,801730.SI,电力设备,36,0.029708135699943388,0.1336980851324927,0.8021885107949562,0.42785734581141566,0.5
2016-2018,801740.SI,国防军工,13,0.009600655754501895,0.03256030382323586,0.11739784497936306,0.9084868526718455,0.38461538461538464
2016-2018,801750.SI,计算机,36,-0.015092153875764671,-0.057566264278421146,-0.34539758567052686,0.7318628406844634,0.4722222222222222
2016-2018,801760.SI,传媒,36,0.07152184732740792,0.2903223326493788,1.7419339958962727,0.09030315237573316,0.6666666666666666
2016-2018,801770.SI,通信,32,0.09860868298368297,0.3674738466944247,2.078745991250668,0.04600632568053972,0.59375
