year,非流动性(Amihud),分析师EPS修正,现金流收益率,市盈率倒数(EP),毛利率,毛利率趋势,52周相对高点,北向持仓变化,北向持仓比例,股东数变化,特质波动率,Piotroski F分,单季ROE,营收加速度,营收同比,ROE变化(1Q),ROE变化(3Q),换手率(20日)
2012,0.5549328641748394,0.3995428506535831,0.2573060142983301,0.5018423837986323,0.528650794904671,0.748883233813787,0.275167230969473,,,0.15381403430359394,-0.8791357561188301,0.6497956616960995,0.46453571545322,1.2335019408839365,0.5299189044757898,0.565909516051892,0.3093559825724097,-0.7385356504370928
2013,0.6072652261639092,0.766788689541411,0.1753392287676904,0.296605948354278,0.614283698105095,0.5634359023132868,0.75260623986792,,,0.6365127921049334,-0.28698373267995514,0.41913460628374477,0.5613886911888967,0.07553782383216061,0.7195646599078256,0.4116643384915626,0.42790799559262976,-0.4248213542696436
2014,0.37608639890400336,0.11879307170765066,0.5693310690418124,0.12926106465289405,-0.5379706716398874,-0.33284517039542544,-0.1703591164692816,,,0.1795515368534978,-1.1855963626342918,0.08328062182428375,-0.276285312447359,0.09499197621453812,-0.10125361918124626,0.010167280150161054,-0.2367248212129251,-0.7702590604997006
2015,0.17748931605652912,0.05710464979155858,0.35447670715669477,0.4385502904195694,0.24395735653345263,0.47023338225307293,-0.19314792622862093,,,0.09486911217049386,-0.8583482530599058,0.9533343398959266,0.4246454144877943,0.5184485122095395,0.36210009894141726,0.6338257175685142,0.9348328428635219,-0.8549066028944035
2016,0.6452312910494503,0.26370074602479054,0.7993412332660155,1.0092070361634535,0.03685507493189753,0.20837579828098338,0.1849996183173679,0.11393163516786957,0.11444285691269494,0.609147982202775,-1.5283361111154536,0.585604583208925,0.6241850593955961,0.4193967460425123,0.3860531931071122,0.5711183350635413,0.6082573261152839,-1.1365912920681274
2017,0.6963276589773074,0.9214256243262884,0.8897461365435818,0.8673566942953245,1.2436951338211142,0.8517174886144451,0.6788319063944097,0.3931029508190563,1.0269699389538338,0.6508412136142402,-0.5822963675146552,1.0173748432301037,1.1635745377237579,0.7112219173254964,0.8834101818823973,0.6030870058629427,0.8613712126713662,-0.7613647929814413
2018,0.9968533654236919,0.5038701824821901,0.5156480721244616,0.2917961690294665,0.3076045923191067,0.09224514433951084,0.6086931511859837,1.100626102125143,0.37341996796342225,0.4578521740472487,-0.6081589308534177,0.8862149943597594,0.47751018418067703,1.0821138730575541,0.23497856455452887,0.269672606621694,0.7019753464529541,-0.9698231251569084
2019,0.19937990524170476,0.022796793210365675,0.05136428123488762,0.26910690585591784,0.41588461668293497,0.6083580346850067,0.379734013417676,0.32971742873030385,0.3616959121579724,0.5153507438713749,-0.1913833954617834,0.5906902988138991,0.5325100447868717,1.0211485119075414,0.9497031487248668,0.7321341109923879,0.4878212055753526,-0.22877525000026666
2020,0.6094084621274495,0.4823399842764052,0.19335192390647296,0.4331954236133,0.3250814555129624,0.8740780316558416,0.6726486664837465,0.5582709178835125,0.6342383431379884,0.055220977802006035,-0.27552597879687984,0.548564499452694,0.8259137880550462,0.4227383304175287,0.5295874281826691,0.5940695837950988,0.8190632667936272,-0.4171905291532038
2021,0.12292388456805896,0.24733661398622342,0.18492516885901744,0.2829752959953518,0.053463117467760786,0.01551575941153025,0.18204308915329356,-0.20121948679557594,0.22218023692904532,0.6149221148924906,-0.6465934790100518,-0.3632097782834876,0.012555427249156061,0.5928933715951522,-0.15385724748636134,-0.05016094696974014,0.27060523376021284,-0.7409191600716453
2022,0.3212638882675526,0.28197603799894977,0.1332146845603023,-0.04132109999211037,-0.05857120991524076,-0.10808055428414866,-0.05374403690110833,0.3573121439904013,0.7258309671995781,-0.14590889205728977,-0.5836477321394163,-0.03409410389269652,-0.08763893536475763,0.7124474866573026,0.0770266925366549,0.0007966863124238915,0.3675118469611129,-0.6340763976411414
2023,0.17808735190577285,,1.3208384717794948,0.7121125647418377,-0.8728432781661829,0.15999938574510825,0.7303470365961507,,,0.8411274141981904,-1.5274040412051146,0.37479372348155027,-0.18832064657197492,0.6197160186852909,-0.19473346579951115,0.12844274495535887,-0.2757982292207392,-1.1673375797083472
2024,-0.12335434992866802,,0.3315703217552093,0.32206678490138213,0.14314401943402763,0.23904043940006656,0.08131615044194808,,,-0.017425690828663493,-0.8127727105679816,0.4116582553681435,0.31022340556230615,0.28703592551495005,0.41711273442126434,0.3068290236660001,0.08956527179732877,-0.438299497494186
2025,0.09556544977768541,,0.23275419628710178,0.01121252902885529,0.06401734736157413,-0.05789853101176177,-0.05496825045223721,,,-0.12976953344783815,-0.4149608647158042,-0.01836557207590982,-0.10641627050765264,0.7153375572312114,-0.005811291785884154,-0.3237483214382799,0.38475215750406305,-0.4194692532427843
