year,非流动性(Amihud),分析师EPS修正,现金流收益率,市盈率倒数(EP),毛利率,毛利率趋势,52周相对高点,北向持仓变化,北向持仓比例,股东数变化,特质波动率,Piotroski F分,单季ROE,营收加速度,营收同比,ROE变化(1Q),ROE变化(3Q),换手率(20日)
2012,0.05541799725711816,0.03276260492269779,0.014401160275051714,0.0457234239307179,0.04449292090489068,0.04660460092256585,0.03565925200909643,,,0.01396479380982017,-0.07817055601639213,0.04454012963058004,0.0537821500358969,0.06143604884350706,0.04815776810140549,0.05229764515982635,0.02698877624514252,-0.08024356425172796
2013,0.05126203688914551,0.05272808851308471,0.013131672828107835,0.026683864868759604,0.048539789118284125,0.03836274705528681,0.08762477075509849,,,0.03607258715107617,-0.04178536231317053,0.029606758282803517,0.044921053950851254,0.0035516352124108854,0.04945209171126069,0.04376522789004841,0.01837605073103135,-0.06277730345048328
2014,0.030694062690114685,0.008245325302878493,0.02769166338318206,0.011450159968941775,-0.028021788356662015,-0.01543966671410188,-0.01729468479328318,,,0.009177074695026245,-0.11730182877602584,0.00406766198809017,-0.0266078498804677,0.0063663597436030145,-0.008352667744342908,0.0005013045628019831,-0.007359913421098779,-0.09342132311987243
2015,0.01958736706457197,0.00469081518566055,0.031074536314800682,0.05023024202615687,0.019365749324886248,0.01817486278561336,-0.021534579020085588,,,0.00604236507371713,-0.09939575477303508,0.03967632452247542,0.047751107331189015,0.031180694499825187,0.0355883150277029,0.03957369568945537,0.03841352817895496,-0.09407438422718001
2016,0.05504321179977504,0.014600110381648669,0.07189543451830965,0.08276732096290883,0.002514579555805711,0.00801631241249286,0.019989082734181575,0.0069452623351275704,0.010310095819786144,0.03776372684151924,-0.13470436933614696,0.034629083479491486,0.04608601072372709,0.01158373281942468,0.020921935630898555,0.03477713595210465,0.02294505970651181,-0.13054727050793805
2017,0.03907292286458692,0.055295190266336725,0.056129145411876157,0.08757906608626513,0.06303724368750274,0.03527526883728461,0.06096396167205904,0.02692743567878697,0.06646479846757135,0.045961914387325255,-0.04967114308413889,0.06547367765897795,0.11081673008808283,0.044043343900034726,0.045117588135163395,0.05285996593521323,0.04900583712080056,-0.055076385069199374
2018,0.05646960815550072,0.044583502298700145,0.03503707411589092,0.026997204768312872,0.01988907899324077,0.0045132511655851726,0.08873159963175253,0.03635329214772667,0.030964711414563823,0.02972770369648582,-0.06814108642464169,0.06388979296850963,0.06331749460727067,0.05344603863564539,0.016717605001344952,0.021766280768960044,0.03525043667752355,-0.099755251563148
2019,0.01656114882760686,0.0020805815322731077,0.0029645562101566513,0.029369344654695595,0.02893252488146562,0.03317606690104343,0.06345477197578146,0.01183721030086215,0.028700832117920193,0.04220453672422766,-0.024816907638845,0.05371116422771427,0.06563540016569368,0.04885625657704002,0.06912444045282219,0.06771900283054794,0.03532843596347717,-0.03217794947297705
2020,0.030354611417923918,0.03919060418789284,0.013895595502458868,0.022736410617804775,0.027088251824058076,0.04766454547289006,0.0556598116090653,0.029122301123446662,0.055373347451204986,0.002414505767292795,-0.030291271099221972,0.03930617994505453,0.0749096336262107,0.020754641176799822,0.03682543617269731,0.05088930291269519,0.030654599311986167,-0.04471858343722985
2021,0.008036227224625983,0.022728223600039222,0.02154984096959833,0.03385321260122201,0.004386483928326909,0.0008089509153531918,0.013082414013699863,-0.0102367947298923,0.01117113758163992,0.03232064255838266,-0.06720677442746707,-0.01992036758791726,0.0009355229412913672,0.029168802699420196,-0.007483224079828658,-0.004671782817303301,0.023500433804748973,-0.08319511859059196
2022,0.03131349540035294,0.026654524969401697,0.015763293287333734,-0.0051537327379053725,-0.004396081566795817,-0.005141019631942857,-0.010031570089300543,0.019162852304077157,0.039919546745592595,-0.012594429194892079,-0.04451070138671765,-0.0021675799696375376,-0.007356457794608628,0.030551590855978205,0.005972534551872431,5.991615576256444e-05,0.02007110406500322,-0.06475115134112723
2023,0.009440763979216919,,0.09204385711974188,0.0635455626715004,-0.03815209633839673,0.010542573472196622,0.10044044756527225,,,0.036964142487921715,-0.12576960342561838,0.029200834018148505,-0.02481861414235932,0.03632500701791924,-0.01829228166030709,0.013136600786425132,-0.015787978456496477,-0.08910194534435122
2024,-0.010941347439960744,,0.034251350008310276,0.0396692689451248,0.013142926409143794,0.01920224460132777,0.015638068633847865,,,-0.0008286058984004162,-0.0850402716845391,0.04864815807965489,0.04279312046226813,0.020544168385861428,0.04303555565594928,0.03091848460276785,0.004808919309720172,-0.0415333835768597
2025,0.0061183327474807975,,0.026531290688772757,0.0016638787627221263,0.004571746463295659,-0.005336489945761909,-0.005889164484639327,,,-0.004934985373436196,-0.03682031334699323,-0.001665886817640359,-0.014779163804380787,0.029930711478897774,-0.0004213478247658498,-0.023608123699293136,0.029711833819174464,-0.045934539647233555
