,训练期IC_IR(2012-2020),验证期IC_IR(2021-2022),测试期IC_IR(2023-2025),验证期IC均值,测试期IC均值,IC衰减幅度
营收加速度,0.5758573113890146,0.6615124500605841,0.4969474371506061,0.0298601967776992,0.028874624106892524,-0.16456501290997805
北向持仓比例,0.5130525874799416,0.47672836790250184,,0.025545342163616258,,
ROE变化(3Q),0.5155044623771425,0.3069779893093189,0.07669458870399956,0.0217857689348761,0.0048638126008949695,-0.23028340060531935
分析师EPS修正,0.37111481509947114,0.270762224771882,,0.024691374284720458,,
非流动性(Amihud),0.4967701135933413,0.23984703406788616,0.01840088654166766,0.019674861312489463,0.0012698919395847657,-0.2214461475262185
现金流收益率,0.41967915483803564,0.16238416965869454,0.5342088406544833,0.01865656712846603,0.052378099777186854,0.37182467099578875
股东数变化,0.37638166490083386,0.1340850430857235,0.2429199136998621,0.00986310668174529,0.011302252509996873,0.1088348706141386
市盈率倒数(EP),0.45921419891157855,0.11842842490359932,0.30814097894484516,0.01434973993165832,0.036918140206668344,0.18971255404124582
北向持仓变化,0.47067495444516755,0.08376378801518158,,0.00446302878709243,,
52周相对高点,0.34224028873112516,0.0109882242983278,0.25356575288922767,0.0015254219621996616,0.039236780868913176,0.24257752859089987
毛利率,0.3437618649274217,-6.2297025994953e-05,-0.10202130624906873,-4.798819234453147e-06,-0.007482134544649371,-0.10195900922307377
营收同比,0.4649294748274128,-0.011863216922737063,0.09260636690043464,-0.0007553447639781144,0.008608994402942577,0.1044695838231717
ROE变化(1Q),0.5012077146394527,-0.02784204604220545,0.09160419704797178,-0.002305933330770369,0.008605287872864244,0.11944624309017723
单季ROE,0.5049875289312032,-0.04129905921868505,0.014745294883073768,-0.0032104674266586306,0.001997130523385234,0.056044354101758814
毛利率趋势,0.4501303880653582,-0.04429345270483832,0.11511358161375636,-0.002166034358294833,0.008928615218372751,0.15940703431859468
Piotroski F分,0.6255495054944636,-0.18791780651004325,0.2791776901657282,-0.0110439737787774,0.026986148146977564,0.46709549667577144
特质波动率,-0.6390209889143637,-0.6213111278264735,-0.880786522322835,-0.05585873790709236,-0.08523298925858303,-0.2594753944963616
换手率(20日),-0.6681017354570508,-0.7019261482216718,-0.639252550878526,-0.0739731349658596,-0.05961674539784901,0.06267359734314581
