,验证期加权IC贡献,测试期加权IC贡献,贡献变化
换手率(20日),0.0001405182092445846,0.00011471450275430832,-2.580370649027627e-05
营收加速度,4.250681656895187e-05,4.6110225714980646e-05,3.6034091460287763e-06
北向持仓比例,2.805421958969289e-05,,
ROE变化(3Q),2.4050111405229187e-05,6.5368031055693175e-06,-1.751330829965987e-05
分析师EPS修正,8.317776324907029e-06,,
股东数变化,8.273377255181858e-06,2.012574064442965e-05,1.1852363389247793e-05
北向持仓变化,3.354426562335272e-06,,
单季ROE,2.6430517808349845e-06,7.53080488906695e-07,-1.8899712919282895e-06
毛利率,-3.16818029672437e-07,1.3458832031167423e-07,4.5140634998411123e-07
特质波动率,-1.1799038301519806e-06,2.0069974335634073e-05,2.1249878165786053e-05
营收同比,-2.016285983187957e-06,4.619414843932711e-06,6.635700827120668e-06
毛利率趋势,-2.1205569355384565e-06,5.81067361164781e-06,7.931230547186267e-06
ROE变化(1Q),-4.847370044818527e-06,1.0134167700368056e-05,1.4981537745186583e-05
52周相对高点,-7.663838686783944e-06,8.355754654529314e-05,9.122138523207709e-05
市盈率倒数(EP),-1.1215447053000235e-05,-2.1140192724752448e-05,-9.924745671752213e-06
Piotroski F分,-1.3986273007677764e-05,1.1023580454945e-05,2.5009853462622762e-05
现金流收益率,-1.5283684023000255e-05,-1.907496480416428e-05,-3.7912807811640238e-06
非流动性(Amihud),-2.3473097111213412e-05,-1.2145171466164688e-06,2.2258579964596943e-05
