fold,val_start,val_end,n_train_obs,alpha,ic_ir
1,2015-01,2015-12,15929,0.1,1.2462349409399267
1,2015-01,2015-12,15929,1.0,1.2462146047706386
1,2015-01,2015-12,15929,10.0,1.2452264149422747
1,2015-01,2015-12,15929,100.0,1.2442595637367104
1,2015-01,2015-12,15929,500.0,1.2312297495583846
1,2015-01,2015-12,15929,2000.0,1.2001319978471925
1,2015-01,2015-12,15929,5000.0,1.1626815081246362
2,2016-01,2016-12,16213,0.1,1.3938652008680659
2,2016-01,2016-12,16213,1.0,1.3937704203023418
2,2016-01,2016-12,16213,10.0,1.3931697579374027
2,2016-01,2016-12,16213,100.0,1.395041317889876
2,2016-01,2016-12,16213,500.0,1.3992923369001893
2,2016-01,2016-12,16213,2000.0,1.4202703664530645
2,2016-01,2016-12,16213,5000.0,1.4314040848772454
3,2017-01,2017-12,15855,0.1,0.957924858044194
3,2017-01,2017-12,15855,1.0,0.9586125564893615
3,2017-01,2017-12,15855,10.0,0.9598199985806403
3,2017-01,2017-12,15855,100.0,0.9743603097609457
3,2017-01,2017-12,15855,500.0,1.0082197065193952
3,2017-01,2017-12,15855,2000.0,1.0602854805682995
3,2017-01,2017-12,15855,5000.0,1.0928493968568576
4,2018-01,2018-12,15849,0.1,1.1616186135109277
4,2018-01,2018-12,15849,1.0,1.161557768447138
4,2018-01,2018-12,15849,10.0,1.1617437775347756
4,2018-01,2018-12,15849,100.0,1.1617950490057904
4,2018-01,2018-12,15849,500.0,1.1606791092183322
4,2018-01,2018-12,15849,2000.0,1.1584108811870664
4,2018-01,2018-12,15849,5000.0,1.1522799749813952
5,2019-01,2019-12,16302,0.1,0.4015019364510478
5,2019-01,2019-12,16302,1.0,0.40149301026122025
5,2019-01,2019-12,16302,10.0,0.40143372627541757
5,2019-01,2019-12,16302,100.0,0.40205629843189106
5,2019-01,2019-12,16302,500.0,0.40334531474658053
5,2019-01,2019-12,16302,2000.0,0.40485629274677304
5,2019-01,2019-12,16302,5000.0,0.41090768030052754
