fold,val_start,val_end,n_train_obs,alpha,ic_ir
1,2015-01,2015-12,15930,0.1,0.9052431226804399
1,2015-01,2015-12,15930,1.0,0.9052153047164322
1,2015-01,2015-12,15930,10.0,0.9050814687754836
1,2015-01,2015-12,15930,100.0,0.9065013677486177
1,2015-01,2015-12,15930,500.0,0.9059322137728689
1,2015-01,2015-12,15930,2000.0,0.9028215275063263
1,2015-01,2015-12,15930,5000.0,0.902172272429269
2,2016-01,2016-12,20899,0.1,1.4293787622733036
2,2016-01,2016-12,20899,1.0,1.4294155270638904
2,2016-01,2016-12,20899,10.0,1.4297906797553226
2,2016-01,2016-12,20899,100.0,1.4288097040974401
2,2016-01,2016-12,20899,500.0,1.433702481989854
2,2016-01,2016-12,20899,2000.0,1.448256184486703
2,2016-01,2016-12,20899,5000.0,1.4435870415397862
3,2017-01,2017-12,26292,0.1,1.16252119765082
3,2017-01,2017-12,26292,1.0,1.1620619145535835
3,2017-01,2017-12,26292,10.0,1.1661637332865742
3,2017-01,2017-12,26292,100.0,1.1803810240608401
3,2017-01,2017-12,26292,500.0,1.2419760896944168
3,2017-01,2017-12,26292,2000.0,1.3153731380931326
3,2017-01,2017-12,26292,5000.0,1.3476408096242272
4,2018-01,2018-12,31795,0.1,1.1848539416981885
4,2018-01,2018-12,31795,1.0,1.184784798570842
4,2018-01,2018-12,31795,10.0,1.1843385286021202
4,2018-01,2018-12,31795,100.0,1.187867328772218
4,2018-01,2018-12,31795,500.0,1.1950793236885386
4,2018-01,2018-12,31795,2000.0,1.2050039969408923
4,2018-01,2018-12,31795,5000.0,1.2160988792921863
5,2019-01,2019-12,37272,0.1,0.38997715004245703
5,2019-01,2019-12,37272,1.0,0.390016932139536
5,2019-01,2019-12,37272,10.0,0.3900592232131392
5,2019-01,2019-12,37272,100.0,0.3897816633081826
5,2019-01,2019-12,37272,500.0,0.39089780865490464
5,2019-01,2019-12,37272,2000.0,0.39079111050008625
5,2019-01,2019-12,37272,5000.0,0.3927603297704363
