,accrual,amihud,asset_turn,bp,cfp,ep_ttm,fcfp,gross_margin,holder_chg,ivol_60d,large_net_inflow,leverage,margin_ratio,max_ret,mom_12_1,mom_6_1,np_yoy,q_roe,ret_1m,rev_yoy,roa,roe,roe_delta,short_ratio,sp_ttm,turn_20d,vol_60d
accrual,1.0,-0.010895407623091831,-0.022967957841636227,-0.10790913060982116,-0.7010801672684397,0.17101224135694446,-0.3116064445441897,0.08347307880791607,-0.04242151830432639,-0.020037645793129822,-0.0055672137417999345,-0.13360771348738235,-0.0468276192238129,-0.011862495099768278,0.017961880523328616,-0.008713414714290803,0.049095938620986004,0.13961340427717664,-0.006622565282201759,0.11275502391446587,0.17627790220287545,0.1675139803752092,-0.004189151600314589,-0.02008097353546237,-0.14667487675142127,-0.004874180461438297,-0.012222496118194594
amihud,-0.010895407623091831,1.0,-0.04246623151159101,0.010356379552259678,-0.018628696533982345,-0.09476146262254741,-0.025784799036125253,0.0008944085744555923,0.11683728404083633,-0.19258283810538218,0.0519671352474227,-0.0022042476213130066,-0.19874074719735643,-0.08503844544921751,-0.0628538565389144,-0.06090458499420106,-0.10997251258821732,-0.06064649085134571,0.044436870648585425,-0.034309349144988815,-0.058267242258778024,-0.07691925453885258,-0.10212087222445532,-0.17156137456878995,-0.040329240106455846,-0.6001636509664959,-0.2114677690529353
asset_turn,-0.022967957841636227,-0.04246623151159101,1.0,-0.10730364946385887,0.10550485254132688,0.21393811049841896,0.07743229708005823,-0.3800166115093455,0.008780132460738789,0.013204291550709195,0.04405325355946773,0.19265059559015668,-0.10433047866371843,0.012960360788883721,0.11817709871784358,0.08938955473137158,0.14449170177108434,0.311809653113656,0.04449273965179622,0.20302172268800447,0.2819474729491553,0.35203036637512236,0.1219458851859984,-0.03668441820414773,0.49662498498670526,0.029039031799717285,-0.005952914225570583
bp,-0.10790913060982116,0.010356379552259678,-0.10730364946385887,1.0,0.3036805282135129,0.27807768332712784,0.007641480315523314,-0.276082213795154,-0.02182192657280466,-0.34276292358971366,-0.17379448492077185,0.13336316005136217,0.16129189433631202,-0.23155132199388895,-0.2794640105355072,-0.19263954740481928,-0.14537803896430088,-0.3338938642619715,-0.09418313924591666,-0.15269531541089873,-0.35445028134015305,-0.34581789370831667,-0.0851912530529355,-0.060880298006416984,0.5360572392114149,-0.21205340103377796,-0.31162802564089565
cfp,-0.7010801672684397,-0.018628696533982345,0.10550485254132688,0.3036805282135129,1.0,0.3267193630565136,0.4036550442198534,-0.030575725001023804,0.015187845906971274,-0.13363636836424586,-0.02798272006137607,0.15060501453937356,-0.008466322828346485,-0.08813573451414297,-0.03424009395625517,-0.021462038303891047,0.04651786953157533,0.058753415088259806,-0.010422639902281938,-0.0614422772382233,0.027680986739834934,0.06002701296638064,0.06007763234313595,-0.04897383837802774,0.33986454793817544,-0.06685914924537807,-0.1367757404406351
ep_ttm,0.17101224135694446,-0.09476146262254741,0.21393811049841896,0.27807768332712784,0.3267193630565136,1.0,0.13055385649267062,0.09853651585713169,-0.041495331598897595,-0.23922837595340507,-0.050440104815347026,-0.008410446712741838,-0.11793977213896249,-0.15869209511308557,-0.0036148424143016725,-0.023157178877530344,0.19581880622092473,0.41743374305303155,-0.017312487414179088,0.083423827054379,0.4036128427456971,0.47732115934377894,0.12941679510489015,-0.10922137380742819,0.2987154148996116,-0.08253149011285826,-0.24351750048393564
fcfp,-0.3116064445441897,-0.025784799036125253,0.07743229708005823,0.007641480315523314,0.4036550442198534,0.13055385649267062,1.0,0.077541614870527,0.003498236477695282,-0.021620789713124228,0.014529186687552764,-0.07887972580299692,-0.011251410606043118,-0.02214085466340964,0.054609339265619436,0.042228153502374716,0.034864021644057455,0.10162987584364225,0.010388583765312192,-0.0641807479849395,0.134793496183092,0.10779201570224081,0.0773542464655778,0.014246336705397211,0.032630180331932074,-0.0074052799561909344,-0.03551422954313361
gross_margin,0.08347307880791607,0.0008944085744555923,-0.3800166115093455,-0.276082213795154,-0.030575725001023804,0.09853651585713169,0.077541614870527,1.0,-0.014372957976537799,0.04794330415216762,0.056098377387688844,-0.4223817128390488,-0.1148567447813886,0.03526101614940483,0.10397947496125859,0.0631418749655394,0.10919653968111039,0.30773653192764994,0.02517789456117139,0.027442962811794605,0.4386460930555004,0.34504338170973664,0.06598462901836157,-0.005513137825078557,-0.565843012168205,0.029713607286745065,0.041740052000581826
holder_chg,-0.04242151830432639,0.11683728404083633,0.008780132460738789,-0.02182192657280466,0.015187845906971274,-0.041495331598897595,0.003498236477695282,-0.014372957976537799,1.0,-0.05851267277104845,0.07760267258922834,0.010697144679280516,-0.07428627386399982,-0.021883238039049194,0.05193955245500894,0.12457337984302189,-0.030296035948827755,0.013633784453857843,0.06619723790554363,-0.009215193864313262,-0.02107160543885906,-0.014468132438448057,-0.021806775596663563,-0.0263718876215105,0.00302107940218054,-0.12417205464258739,-0.09130322208935526
ivol_60d,-0.020037645793129822,-0.19258283810538218,0.013204291550709195,-0.34276292358971366,-0.13363636836424586,-0.23922837595340507,-0.021620789713124228,0.04794330415216762,-0.05851267277104845,1.0,0.11737541748876383,0.02837078444029909,-0.01643399042238324,0.5809057966025355,0.3145811290771954,0.3419690052205045,0.08215898880263092,0.059649459450387986,0.06754072098909161,0.08128604979171787,0.04259790032381177,0.03805462936850155,0.06890091873854369,0.1946916976234915,-0.17618062780935068,0.6432794064935772,0.933819741383784
