因子,期数,起始,截止,均有效股票数,最少股票数,有效率%
accrual,84,2016-01-29,2022-12-30,449,426,42.2
amihud,84,2016-01-29,2022-12-30,487,454,45.7
asset_turn,84,2016-01-29,2022-12-30,463,438,43.5
bp,84,2016-01-29,2022-12-30,464,448,43.6
cfp,84,2016-01-29,2022-12-30,449,426,42.2
ep_ttm,84,2016-01-29,2022-12-30,449,426,42.2
fcfp,84,2016-01-29,2022-12-30,448,422,42.1
gross_margin,84,2016-01-29,2022-12-30,463,438,43.5
holder_chg,84,2016-01-29,2022-12-30,364,332,34.2
ivol_60d,84,2016-01-29,2022-12-30,467,0,43.9
large_net_inflow,84,2016-01-29,2022-12-30,376,342,35.3
leverage,84,2016-01-29,2022-12-30,463,438,43.5
margin_ratio,84,2016-01-29,2022-12-30,338,276,31.8
max_ret,84,2016-01-29,2022-12-30,487,454,45.7
mom_12_1,84,2016-01-29,2022-12-30,408,0,38.3
mom_6_1,84,2016-01-29,2022-12-30,441,0,41.4
np_yoy,84,2016-01-29,2022-12-30,463,438,43.5
q_roe,84,2016-01-29,2022-12-30,463,438,43.5
ret_1m,84,2016-01-29,2022-12-30,477,0,44.8
rev_yoy,84,2016-01-29,2022-12-30,463,438,43.5
roa,84,2016-01-29,2022-12-30,463,438,43.5
roe,84,2016-01-29,2022-12-30,463,438,43.5
roe_delta,84,2016-01-29,2022-12-30,463,438,43.5
short_ratio,84,2016-01-29,2022-12-30,338,276,31.8
sp_ttm,84,2016-01-29,2022-12-30,449,426,42.2
turn_20d,84,2016-01-29,2022-12-30,487,454,45.7
vol_60d,84,2016-01-29,2022-12-30,466,0,43.8
