factor,n,ic_mean,ic_std,ic_ir,t_stat,p_value,pct_positive,p_value_bh,significant_bh,pct_consistent_dir,effective
turn_20d,70,-0.0703,0.1107,-0.6355,-5.3171,1e-06,0.2571,2.7e-05,True,0.7429,True
q_roe,70,0.0627,0.1027,0.6106,5.1084,3e-06,0.7286,4.05e-05,True,0.7286,True
holder_chg,70,0.0337,0.0626,0.5384,4.5044,2.6e-05,0.7286,0.000232875,True,0.7286,True
roa,70,0.0502,0.0958,0.5235,4.3801,4.1e-05,0.7143,0.000232875,True,0.7143,True
roe,70,0.0531,0.1024,0.5189,4.3415,4.7e-05,0.6714,0.000232875,True,0.6714,True
ivol_60d,67,-0.0555,0.107,-0.5189,-4.2475,6.9e-05,0.2537,0.000232875,True,0.7463,True
amihud,70,0.0348,0.0684,0.5083,4.2531,6.5e-05,0.7286,0.000232875,True,0.7286,True
rev_yoy,70,0.0326,0.0643,0.508,4.2498,6.6e-05,0.6429,0.000232875,True,0.6429,True
vol_60d,67,-0.0609,0.1229,-0.4956,-4.0563,0.000134,0.2388,0.0003289090909090909,True,0.7612,True
max_ret,70,-0.0444,0.0898,-0.4946,-4.138,9.7e-05,0.3429,0.000291,True,0.6571,True
np_yoy,70,0.0433,0.0889,0.4871,4.0757,0.000121,0.7143,0.0003267,True,0.7143,True
ep_ttm,70,0.0434,0.0929,0.4671,3.9081,0.000215,0.6429,0.00048375,True,0.6429,True
roe_delta,70,0.0388,0.0852,0.455,3.8065,0.000302,0.7143,0.0006272307692307694,True,0.7143,True
margin_ratio,70,-0.05,0.1231,-0.4062,-3.3988,0.001128,0.3286,0.0021754285714285716,True,0.6714,True
cfp,70,0.0307,0.0788,0.3893,3.2575,0.001745,0.6286,0.0031409999999999997,True,0.6286,True
asset_turn,70,0.0263,0.0684,0.3848,3.2196,0.001958,0.6571,0.003304125,True,0.6571,True
gross_margin,70,0.0267,0.0708,0.3769,3.1538,0.002387,0.6571,0.0037911176470588233,True,0.6571,True
short_ratio,70,-0.0261,0.0719,-0.3626,-3.0338,0.003402,0.3,0.005103000000000001,True,0.7,True
mom_12_1,59,0.0437,0.1303,0.3353,2.5755,0.01258,0.6271,0.017876842105263156,True,0.6271,True
fcfp,70,0.0126,0.0434,0.2901,2.4269,0.017846,0.6714,0.0240921,True,0.6714,False
mom_6_1,64,0.0309,0.1121,0.276,2.208,0.030892,0.625,0.03971828571428571,True,0.625,False
ret_1m,69,-0.0239,0.0991,-0.2413,-2.0044,0.049009,0.4493,0.06014740909090909,False,0.5507,False
large_net_inflow,70,0.012,0.0904,0.1323,1.1072,0.272072,0.5429,0.3193888695652174,False,0.5429,False
sp_ttm,70,0.0101,0.0893,0.1132,0.9467,0.347104,0.5286,0.39049200000000006,False,0.5286,False
bp,70,0.0122,0.116,0.105,0.8783,0.382805,0.5,0.4134294,False,0.5,False
accrual,70,-0.0056,0.0591,-0.0953,-0.7977,0.427767,0.4571,0.438563,False,0.5428999999999999,False
leverage,70,-0.0061,0.0657,-0.0931,-0.7791,0.438563,0.4286,0.438563,False,0.5714,False
