factor,n_periods,factor_direction,q1_ann_ret,q5_ann_ret,ls_ann_ret,directional_ls_ann_ret,sharpe_ls,directional_sharpe_ls
q_roe,70,1.0,0.007321754117064268,0.17647805602270797,0.16915630190564368,0.16915630190564368,1.6222688370525502,1.6222688370525502
roe_delta,70,1.0,0.01114519506669134,0.1436361032250563,0.13249090815836498,0.13249090815836498,1.4833487413733362,1.4833487413733362
np_yoy,70,1.0,0.00388342325156395,0.14239055660742844,0.13850713335586445,0.13850713335586445,1.4799993726953848,1.4799993726953848
rev_yoy,70,1.0,0.019054502012021555,0.11513943268902449,0.09608493067700292,0.09608493067700292,1.3574295185303842,1.3574295185303842
roe,70,1.0,0.021886595812548277,0.150994344432416,0.12910774861986768,0.12910774861986768,1.3227050825062232,1.3227050825062232
margin_ratio,70,-1.0,0.1611953605726215,0.02821323910605116,-0.1329821214665703,0.1329821214665703,-1.3226427132476775,1.3226427132476775
roa,70,1.0,0.030517259395902493,0.15640778680443113,0.12589052740852863,0.12589052740852863,1.2594867891838952,1.2594867891838952
holder_chg,70,1.0,0.04603144873456466,0.1311816665238962,0.08515021778933157,0.08515021778933157,1.2479137120654635,1.2479137120654635
mom_12_1,59,1.0,-0.022428413765765542,0.14423664858007307,0.1666650623458386,0.1666650623458386,1.2167442037809355,1.2167442037809355
mom_6_1,64,1.0,-0.007751178254155836,0.127304782203524,0.13505596045767984,0.13505596045767984,1.1382033333947126,1.1382033333947126
ep_ttm,70,1.0,0.014171164651685265,0.09345757555941422,0.07928641090772895,0.07928641090772895,0.9417308589322345,0.9417308589322345
asset_turn,70,1.0,0.04835865437882082,0.10752710670966847,0.05916845233084765,0.05916845233084765,0.894767151153543,0.894767151153543
large_net_inflow,70,1.0,0.031028521524903714,0.10634748971157802,0.07531896818667427,0.07531896818667427,0.8941290087411501,0.8941290087411501
cfp,70,1.0,0.0328911688028243,0.09680644400118843,0.06391527519836412,0.06391527519836412,0.8393855717619262,0.8393855717619262
gross_margin,70,1.0,0.02418034469497257,0.08752291690294606,0.06334257220797351,0.06334257220797351,0.8188876392987131,0.8188876392987131
turn_20d,70,-1.0,0.1012100589127028,0.019131050146653745,-0.08207900876604904,0.08207900876604904,-0.7851283588161849,0.7851283588161849
amihud,70,1.0,0.027321181071273876,0.07017411139088557,0.042852930319611716,0.042852930319611716,0.677034082583228,0.677034082583228
vol_60d,67,-1.0,0.07978043227151763,0.02196935756928883,-0.05781107470222879,0.05781107470222879,-0.48466096970836753,0.48466096970836753
sp_ttm,70,1.0,0.06301323669144993,0.09865192157167728,0.03563868488022736,0.03563868488022736,0.4484397639467574,0.4484397639467574
ivol_60d,67,-1.0,0.060683902305952116,0.014708151797347736,-0.04597575050860437,0.04597575050860437,-0.4464301628176666,0.4464301628176666
ret_1m,69,-1.0,0.09651172264169364,0.060129895583330116,-0.03638182705836349,0.03638182705836349,-0.3696246375400907,0.3696246375400907
short_ratio,70,-1.0,0.11683763006581915,0.08868041925197179,-0.028157210813847408,0.028157210813847408,-0.3497833307114923,0.3497833307114923
max_ret,70,-1.0,0.09153620974303522,0.0680849725493789,-0.023451237193656323,0.023451237193656323,-0.28825836959607154,0.28825836959607154
accrual,70,-1.0,0.08317307985386826,0.07266307911130199,-0.010510000742566278,0.010510000742566278,-0.1634742095433107,0.1634742095433107
fcfp,70,1.0,0.07072430631201046,0.07393271640579265,0.0032084100937821974,0.0032084100937821974,0.06839856920927136,0.06839856920927136
bp,70,1.0,0.10184524506433909,0.08513474054327765,-0.016710504521061424,-0.016710504521061424,-0.15748265154718638,-0.15748265154718638
leverage,70,-1.0,0.081278413562387,0.09869775699168504,0.017419343429298087,-0.017419343429298087,0.2527314990678622,-0.2527314990678622
