factor,2016-2018,2019-2021,dir_consistent
turn_20d,-0.9477,-0.3795,True
vol_60d,-0.8056,-0.2596,True
ivol_60d,-0.8039,-0.2863,True
amihud,0.7759,0.2588,True
cfp,0.7389,0.0633,True
max_ret,-0.7344,-0.2869,True
q_roe,0.7106,0.501,True
ep_ttm,0.7041,0.2266,True
roa,0.6358,0.4093,True
holder_chg,0.5875,0.4785,True
roe,0.5815,0.4445,True
mom_12_1,0.5556,0.2112,True
margin_ratio,-0.5519,-0.2494,True
fcfp,0.4785,0.1517,True
roe_delta,0.4772,0.4345,True
np_yoy,0.4717,0.4999,True
rev_yoy,0.4692,0.5419,True
short_ratio,-0.4635,-0.291,True
gross_margin,0.441,0.3173,True
mom_6_1,0.4228,0.1472,True
asset_turn,0.417,0.3508,True
accrual,-0.4126,0.2191,False
bp,0.3443,-0.1032,False
ret_1m,-0.2982,-0.1756,True
sp_ttm,0.2977,-0.078,False
large_net_inflow,0.1473,0.1185,True
leverage,-0.1376,-0.0586,True
