factor,orig_ic_ir,lag1_ic_ir,lag2_ic_ir,lead1_ic_ir,ic_ir_drop,diagnosis,lead_reverse,lagged_ic_ir,warning
leverage,-0.0931,-0.0989,-0.1348,-0.2167,-0.0058,no_drop,True,-0.0989,True
short_ratio,-0.3626,-0.3649,-0.2857,0.3577,-0.0023000000000000242,no_drop,False,-0.3649,False
gross_margin,0.3769,0.375,0.335,0.3659,0.0019000000000000128,no_drop,False,0.375,False
accrual,-0.0953,-0.0764,-0.1553,-0.1349,0.0189,no_drop,True,-0.0764,True
margin_ratio,-0.4062,-0.3795,-0.371,-0.8326,0.0267,no_drop,True,-0.3795,True
vol_60d,-0.4956,-0.457,-0.3815,0.1774,0.03859999999999997,no_drop,False,-0.457,False
asset_turn,0.3848,0.3419,0.329,0.4315,0.042899999999999994,no_drop,True,0.3419,True
mom_6_1,0.276,0.2317,0.2334,-0.1068,0.044300000000000034,no_drop,False,0.2317,False
holder_chg,0.5384,0.4926,0.3295,0.8351,0.04580000000000001,no_drop,True,0.4926,True
mom_12_1,0.3353,0.2865,0.2676,-0.0951,0.04880000000000001,no_drop,False,0.2865,False
sp_ttm,0.1132,0.0578,0.0918,-0.4278,0.0554,no_drop,True,0.0578,True
roa,0.5235,0.464,0.3859,0.5206,0.05949999999999994,no_drop,False,0.464,False
roe,0.5189,0.4512,0.3563,0.5175,0.06770000000000004,no_drop,False,0.4512,False
amihud,0.5083,0.4316,0.4287,0.4489,0.07669999999999999,no_drop,False,0.4316,False
rev_yoy,0.508,0.4295,0.2493,0.3376,0.07850000000000001,no_drop,False,0.4295,False
turn_20d,-0.6355,-0.5542,-0.4826,1.0413,0.08129999999999993,no_drop,True,-0.5542,True
bp,0.105,0.0231,0.0572,-0.6593,0.0819,no_drop,True,0.0231,True
cfp,0.3893,0.3006,0.3001,-0.1304,0.0887,no_drop,False,0.3006,False
ivol_60d,-0.5189,-0.425,-0.3392,0.4913,0.09390000000000004,no_drop,False,-0.425,False
np_yoy,0.4871,0.3764,0.2457,0.5127,0.11069999999999997,weak_drop,True,0.3764,True
large_net_inflow,0.1323,0.0207,0.1769,3.4855,0.1116,weak_drop,True,0.0207,True
fcfp,0.2901,0.1781,0.1735,0.2494,0.11200000000000002,weak_drop,False,0.1781,False
ep_ttm,0.4671,0.3451,0.2911,-0.2556,0.122,weak_drop,False,0.3451,False
max_ret,-0.4946,-0.3582,-0.3318,2.881,0.13639999999999997,weak_drop,True,-0.3582,True
q_roe,0.6106,0.4634,0.3869,0.7012,0.14720000000000005,weak_drop,True,0.4634,True
ret_1m,-0.2413,0.0835,0.1649,10.6805,0.1578,weak_drop,True,0.0835,True
roe_delta,0.455,0.2953,0.1531,0.4883,0.1597,weak_drop,True,0.2953,True
