fold,val_start,val_end,n_train_obs,alpha,ic_ir
1,2015-01,2015-12,15930,0.1,0.9052431226804399
1,2015-01,2015-12,15930,1.0,0.9052153047164322
1,2015-01,2015-12,15930,10.0,0.9050814687754836
1,2015-01,2015-12,15930,100.0,0.9065013677486177
1,2015-01,2015-12,15930,500.0,0.9059322137728689
1,2015-01,2015-12,15930,2000.0,0.9028215275063263
1,2015-01,2015-12,15930,5000.0,0.902172272429269
2,2016-01,2016-12,20899,0.1,1.4293787622733036
2,2016-01,2016-12,20899,1.0,1.4294155270638904
2,2016-01,2016-12,20899,10.0,1.4297906797553226
2,2016-01,2016-12,20899,100.0,1.4288097040974401
2,2016-01,2016-12,20899,500.0,1.433702481989854
2,2016-01,2016-12,20899,2000.0,1.448256184486703
2,2016-01,2016-12,20899,5000.0,1.4435870415397862
3,2017-01,2017-12,21606,0.1,1.0853398963289154
3,2017-01,2017-12,21606,1.0,1.0854224799622574
3,2017-01,2017-12,21606,10.0,1.0872577555414322
3,2017-01,2017-12,21606,100.0,1.1042833072577714
3,2017-01,2017-12,21606,500.0,1.152227728354952
3,2017-01,2017-12,21606,2000.0,1.221676481767252
3,2017-01,2017-12,21606,5000.0,1.2461075876044352
4,2018-01,2018-12,21360,0.1,1.2097311175156735
4,2018-01,2018-12,21360,1.0,1.2099877413750737
4,2018-01,2018-12,21360,10.0,1.210066292122961
4,2018-01,2018-12,21360,100.0,1.2089303170792545
4,2018-01,2018-12,21360,500.0,1.2102642565797437
4,2018-01,2018-12,21360,2000.0,1.2256695689595911
4,2018-01,2018-12,21360,5000.0,1.2219455525285088
5,2019-01,2019-12,21342,0.1,0.3988193793233686
5,2019-01,2019-12,21342,1.0,0.39881291082670145
5,2019-01,2019-12,21342,10.0,0.3988752742751355
5,2019-01,2019-12,21342,100.0,0.3991970463214937
5,2019-01,2019-12,21342,500.0,0.3995643684554599
5,2019-01,2019-12,21342,2000.0,0.4022785231421474
5,2019-01,2019-12,21342,5000.0,0.4058464758354704
