factor,n_periods,factor_direction,q1_ann_ret,q5_ann_ret,ls_ann_ret,directional_ls_ann_ret,sharpe_ls,directional_sharpe_ls
piotroski_f,106,1.0,0.06302346566621485,0.1855636425937349,0.12254017692752006,0.12254017692752006,1.888697764902652,1.888697764902652
hk_hold_ratio,53,1.0,-0.0009657863961620113,0.11200580981522543,0.11297159621138746,0.11297159621138746,1.6076582355758209,1.6076582355758209
np_yoy,106,1.0,0.04498562461864427,0.16947026160685696,0.12448463698821272,0.12448463698821272,1.601000972869324,1.601000972869324
roe_delta,106,1.0,0.05288921930098826,0.17067435451948687,0.11778513521849857,0.11778513521849857,1.488031095953065,1.488031095953065
q_roe,106,1.0,0.06271263575013811,0.19342228253427968,0.13070964678414163,0.13070964678414163,1.3487588820582663,1.3487588820582663
turn_20d,106,-1.0,0.16162021412037408,0.022008518432701164,-0.13961169568767298,0.13961169568767298,-1.3150141935074477,1.3150141935074477
ep_vs_history,105,1.0,0.05341250359336708,0.14368403586709375,0.09027153227372664,0.09027153227372664,1.3030281278737086,1.3030281278737086
ivol_60d,106,-1.0,0.16544286181768175,0.04465341752110331,-0.12078944429657848,0.12078944429657848,-1.2647676087062347,1.2647676087062347
rev_acceleration,106,1.0,0.08375686962027284,0.15948112377416856,0.07572425415389572,0.07572425415389572,1.2646662586623307,1.2646662586623307
analyst_eps_revision,106,1.0,0.09056771709581524,0.17924178916195704,0.08867407206614178,0.08867407206614178,1.2473491174307423,1.2473491174307423
gross_margin_trend,106,1.0,0.07805381844245998,0.14844475848653188,0.07039094004407187,0.07039094004407187,1.2390040640285427,1.2390040640285427
roe_delta_3q,106,1.0,0.08577229732412388,0.15641053602207766,0.0706382386979538,0.0706382386979538,1.226268924152485,1.226268924152485
rev_yoy,106,1.0,0.07184356638444706,0.15753444469542127,0.08569087831097419,0.08569087831097419,1.212883348418285,1.212883348418285
amihud,106,1.0,0.06324088576660411,0.1450308469001093,0.08178996113350524,0.08178996113350524,1.1250784874258632,1.1250784874258632
ep_ttm,106,1.0,0.06845071498185526,0.15874727855953813,0.09029656357768287,0.09029656357768287,1.1118993717443333,1.1118993717443333
cfp,106,1.0,0.07943776635351683,0.15056662161911352,0.07112885526559669,0.07112885526559669,1.077139576445855,1.077139576445855
hk_hold_chg,53,1.0,0.017112183027690096,0.0805780499051225,0.06346586687743241,0.06346586687743241,1.0511754648253353,1.0511754648253353
roe,106,1.0,0.0721755490801457,0.1746655814690671,0.10249003238892138,0.10249003238892138,1.0316320997454846,1.0316320997454846
roa,106,1.0,0.08590438143016277,0.18260575655683584,0.09670137512667308,0.09670137512667308,1.0119228283903883,1.0119228283903883
garp,106,1.0,0.07123693914041156,0.15497987710847866,0.08374293796806709,0.08374293796806709,0.9159804706733081,0.9159804706733081
eps_dispersion,106,-1.0,0.15597459948315034,0.1006491398990986,-0.05532545958405174,0.05532545958405174,-0.8684229741786593,0.8684229741786593
analyst_cnt_chg,106,1.0,0.11421331467889738,0.1632994822008349,0.04908616752193755,0.04908616752193755,0.8622496125186653,0.8622496125186653
high_52w_v2,105,1.0,0.04998223246535816,0.14081768114619403,0.09083544868083589,0.09083544868083589,0.8469600929346432,0.8469600929346432
gross_margin,106,1.0,0.08697905817511913,0.15166691058370438,0.06468785240858525,0.06468785240858525,0.8351793109476409,0.8351793109476409
ret_1m,106,-1.0,0.14903602508146355,0.05756395472497085,-0.09147207035649269,0.09147207035649269,-0.7707326245736936,0.7707326245736936
vol_60d,106,-1.0,0.15836859464406156,0.07222945245182338,-0.08613914219223814,0.08613914219223814,-0.7549806601066101,0.7549806601066101
obv_chg_20d,106,-1.0,0.1391536162585808,0.08159743946163889,-0.057556176796941916,0.057556176796941916,-0.7376230208211048,0.7376230208211048
roe_smoothed_4q,106,1.0,0.07874778620797923,0.14913970001338867,0.07039191380540942,0.07039191380540942,0.7173064117205944,0.7173064117205944
roe_stability,106,1.0,0.10494013454397337,0.14456448872032132,0.03962435417634791,0.03962435417634791,0.6613390878445926,0.6613390878445926
max_ret,106,-1.0,0.14123408531098028,0.08666387661275568,-0.0545702086982246,0.0545702086982246,-0.6342851636465694,0.6342851636465694
holder_chg,106,1.0,0.10443330381064098,0.14808819322142713,0.043654889410786164,0.043654889410786164,0.6155512556115181,0.6155512556115181
mom_12_1,106,1.0,0.08081851004803371,0.14440700522007716,0.06358849517204346,0.06358849517204346,0.5756896646950557,0.5756896646950557
ind_adj_mom,106,1.0,0.08171419870571667,0.14056779698681604,0.0588535982810994,0.0588535982810994,0.543727745877721,0.543727745877721
asset_turn,106,1.0,0.09946206390633656,0.13495151856909843,0.03548945466276189,0.03548945466276189,0.541171532507393,0.541171532507393
accrual,106,-1.0,0.14112900962560054,0.11187462228123005,-0.02925438734437049,0.02925438734437049,-0.48075663916979045,0.48075663916979045
margin_ratio,106,-1.0,0.1651188568554665,0.10962835907528387,-0.05549049778018267,0.05549049778018267,-0.4635255369016857,0.4635255369016857
mom_risk_adj,106,1.0,0.1100828524673313,0.15563016951346725,0.04554731704613593,0.04554731704613593,0.4556318455612453,0.4556318455612453
sp_ttm,106,1.0,0.10947118296462345,0.14892930916001937,0.03945812619539597,0.03945812619539597,0.41946843952356655,0.41946843952356655
pledge_ratio,80,-1.0,0.14595592402319585,0.10878137284711245,-0.037174551176083384,0.037174551176083384,-0.40284251048108843,0.40284251048108843
float_pct_30d,106,-1.0,0.1490273315109038,0.11745562556568342,-0.03157170594522035,0.03157170594522035,-0.3974372809685183,0.3974372809685183
mom_consistency_6,106,1.0,0.11483031997942339,0.14014548779669284,0.025315167817269443,0.025315167817269443,0.39665914891569953,0.39665914891569953
analyst_rating_chg,106,1.0,0.12284036770172113,0.14396760566536151,0.02112723796364038,0.02112723796364038,0.365530367913152,0.365530367913152
large_net_inflow,106,1.0,0.09465284824280645,0.12202987019225295,0.027377021949446495,0.027377021949446495,0.33704686689611835,0.33704686689611835
rsi_12,106,-1.0,0.11015884614923344,0.0804337800376505,-0.02972506611158291,0.02972506611158291,-0.3036094039393243,0.3036094039393243
boll_pct,106,-1.0,0.11663736956320274,0.08619929216684138,-0.030438077396361337,0.030438077396361337,-0.2996773890472314,0.2996773890472314
macd_cross,106,-1.0,0.1077748685130799,0.08438430465326838,-0.023390563859811496,0.023390563859811496,-0.24797633470122332,0.24797633470122332
bp,106,1.0,0.11925372394848315,0.14557729337092684,0.026323569422443693,0.026323569422443693,0.22378455676767353,0.22378455676767353
ind_adj_mom_6_1,106,1.0,0.10493917838421199,0.12620969519204106,0.021270516807829105,0.021270516807829105,0.22190863064306846,0.22190863064306846
high_52w,106,1.0,0.10293933818897943,0.13031922796567036,0.02737988977669089,0.02737988977669089,0.19867955968812087,0.19867955968812087
fcfp,106,1.0,0.12425972003728725,0.13365091054973782,0.009391190512450548,0.009391190512450548,0.19206353940795903,0.19206353940795903
mom_6_1,106,1.0,0.10673488666525151,0.1234102791323206,0.01667539246706907,0.01667539246706907,0.17295592314490435,0.17295592314490435
rsi_6,106,-1.0,0.11475180350919764,0.10191912736043854,-0.01283267614875912,0.01283267614875912,-0.1378977888524657,0.1378977888524657
leverage,106,-1.0,0.13285703658459003,0.12703093490684494,-0.005826101677745073,0.005826101677745073,-0.07547667466293614,0.07547667466293614
insider_net_buy,106,1.0,0.10605396438753598,0.10322570845436034,-0.002828255933175638,-0.002828255933175638,-0.04653889278018078,-0.04653889278018078
short_ratio,106,-1.0,0.09847101137150699,0.1413295881296545,0.04285857675814746,-0.04285857675814746,0.4869239404620217,-0.4869239404620217
