因子,期数,起始,截止,均有效股票数,最少股票数,有效率%
accrual,132,2012-01-31,2022-12-30,450,403,33.9
amihud,132,2012-01-31,2022-12-30,481,422,36.2
analyst_cnt_chg,132,2012-01-31,2022-12-30,418,385,31.4
analyst_eps_revision,132,2012-01-31,2022-12-30,328,274,24.7
analyst_rating_chg,132,2012-01-31,2022-12-30,293,240,22.1
asset_growth,132,2012-01-31,2022-12-30,465,416,35.0
asset_turn,132,2012-01-31,2022-12-30,467,417,35.1
boll_pct,132,2012-01-31,2022-12-30,481,422,36.2
bp,132,2012-01-31,2022-12-30,465,416,35.0
cfp,132,2012-01-31,2022-12-30,450,403,33.9
ep_ttm,132,2012-01-31,2022-12-30,450,403,33.9
ep_vs_history,132,2012-01-31,2022-12-30,410,14,30.8
eps_dispersion,132,2012-01-31,2022-12-30,335,284,25.2
fcfp,132,2012-01-31,2022-12-30,448,398,33.7
float_pct_30d,132,2012-01-31,2022-12-30,481,422,36.2
garp,132,2012-01-31,2022-12-30,450,403,33.9
gross_margin,132,2012-01-31,2022-12-30,467,417,35.1
gross_margin_trend,132,2012-01-31,2022-12-30,466,414,35.0
high_52w,132,2012-01-31,2022-12-30,481,422,36.2
high_52w_v2,132,2012-01-31,2022-12-30,470,0,35.4
hk_hold_chg,132,2012-01-31,2022-12-30,269,0,20.3
hk_hold_ratio,132,2012-01-31,2022-12-30,272,0,20.5
holder_chg,132,2012-01-31,2022-12-30,365,307,27.5
ind_adj_mom,132,2012-01-31,2022-12-30,454,341,34.1
ind_adj_mom_6_1,132,2012-01-31,2022-12-30,460,342,34.6
insider_net_buy,132,2012-01-31,2022-12-30,481,422,36.2
ivol_60d,132,2012-01-31,2022-12-30,476,405,35.9
large_net_inflow,132,2012-01-31,2022-12-30,380,329,28.6
leverage,132,2012-01-31,2022-12-30,467,417,35.1
macd_cross,132,2012-01-31,2022-12-30,481,422,36.2
margin_ratio,132,2012-01-31,2022-12-30,269,28,20.2
max_ret,132,2012-01-31,2022-12-30,481,422,36.2
mf_flow_ratio,132,2012-01-31,2022-12-30,269,28,20.2
mom_12_1,132,2012-01-31,2022-12-30,454,341,34.1
mom_6_1,132,2012-01-31,2022-12-30,460,342,34.6
mom_consistency_6,132,2012-01-31,2022-12-30,451,351,33.9
mom_risk_adj,132,2012-01-31,2022-12-30,452,338,34.0
np_yoy,132,2012-01-31,2022-12-30,467,417,35.1
obv_chg_20d,132,2012-01-31,2022-12-30,474,394,35.6
piotroski_f,132,2012-01-31,2022-12-30,466,414,35.1
pledge_ratio,132,2012-01-31,2022-12-30,379,0,28.5
q_roe,132,2012-01-31,2022-12-30,467,417,35.1
ret_1m,132,2012-01-31,2022-12-30,474,394,35.6
rev_acceleration,132,2012-01-31,2022-12-30,465,416,35.0
rev_yoy,132,2012-01-31,2022-12-30,467,417,35.1
roa,132,2012-01-31,2022-12-30,467,417,35.1
roe,132,2012-01-31,2022-12-30,467,417,35.1
roe_delta,132,2012-01-31,2022-12-30,466,414,35.1
roe_delta_3q,132,2012-01-31,2022-12-30,467,416,35.1
roe_smoothed_4q,132,2012-01-31,2022-12-30,467,417,35.1
roe_stability,132,2012-01-31,2022-12-30,465,413,35.0
rsi_12,132,2012-01-31,2022-12-30,481,422,36.2
rsi_6,132,2012-01-31,2022-12-30,481,422,36.2
share_issuance,132,2012-01-31,2022-12-30,460,389,34.6
short_ratio,132,2012-01-31,2022-12-30,269,28,20.2
sp_ttm,132,2012-01-31,2022-12-30,450,403,33.9
turn_20d,132,2012-01-31,2022-12-30,481,422,36.2
vol_60d,132,2012-01-31,2022-12-30,474,394,35.6
