factor,ic_ir,ic_mean,ic_n,p_value_bh,effective_ic,shift_drop,shift_warning,shift_lead_warn,shift_lead_ratio,factor_direction,sharpe_ls,directional_sharpe_ls,dir_flip_valid,valid_stability,icir_lag1,icir_lag2,icir_lag3,ic_decay_pass,final_include,stability_weight
turn_20d,-0.6889,-0.0791,106,0.0,True,0.14439999999999997,False,True,1.7001,-1.0,-1.3150141935074477,1.3150141935074477,False,stable,-0.6889,-0.5445,-0.497,True,True,1.0
ivol_60d,-0.6753,-0.0747,106,0.0,True,0.16190000000000004,False,False,0.8525,-1.0,-1.2647676087062347,1.2647676087062347,False,stable,-0.6753,-0.5134,-0.3972,True,True,1.0
piotroski_f,0.6146,0.0411,106,0.0,True,0.1466,False,False,1.0431,1.0,1.888697764902652,1.888697764902652,True,reverse,0.6146,0.468,0.3976,True,True,1.0
hk_hold_ratio,0.5791,0.0464,47,0.0006904761904761905,True,0.0509,False,False,0.5315,1.0,1.6076582355758209,1.6076582355758209,False,stable,0.5791,0.4853,0.5226,True,True,0.5
rev_acceleration,0.5739,0.0314,106,0.0,True,0.13999999999999996,False,False,1.1952,1.0,1.2646662586623307,1.2646662586623307,False,stable,0.5739,0.4339,0.3368,True,True,1.0
roe_delta_3q,0.5179,0.028,106,9.666666666666667e-06,True,0.28880000000000006,False,False,1.3549,1.0,1.226268924152485,1.226268924152485,False,stable,0.5179,0.2291,0.1142,True,True,0.5
max_ret,-0.5015,-0.0486,106,9.666666666666667e-06,True,0.07379999999999992,True,False,5.7174,-1.0,-0.6342851636465694,0.6342851636465694,False,stable,-0.5015,-0.4277,-0.4228,True,False,1.0
hk_hold_chg,0.4969,0.0233,46,0.0032127857142857145,True,0.1679,False,False,1.3003,1.0,1.0511754648253353,1.0511754648253353,False,weak,0.4969,0.338,0.1473,True,True,0.5
amihud,0.4917,0.0393,106,1.45e-05,True,0.0816,False,False,0.7421,1.0,1.1250784874258632,1.1250784874258632,False,stable,0.4917,0.4101,0.4075,True,True,1.0
q_roe,0.4863,0.0514,106,1.45e-05,True,0.09939999999999999,False,False,1.2188,1.0,1.3487588820582663,1.3487588820582663,True,warn,0.4863,0.3869,0.2631,True,True,0.5
roe_delta,0.4829,0.0389,106,1.74e-05,True,0.15089999999999998,False,False,1.117,1.0,1.488031095953065,1.488031095953065,True,warn,0.4829,0.332,0.1744,True,True,1.0
vol_60d,-0.4797,-0.0649,106,1.74e-05,True,0.009700000000000042,False,False,0.4893,-1.0,-0.7549806601066101,0.7549806601066101,False,stable,-0.4797,-0.47,-0.3815,True,False,1.0
ep_ttm,0.4727,0.044,106,1.9333333333333333e-05,True,0.10150000000000003,False,False,0.5722,1.0,1.1118993717443333,1.1118993717443333,False,weak,0.4727,0.3712,0.3004,True,True,1.0
np_yoy,0.4705,0.0407,106,1.9333333333333333e-05,True,0.12069999999999997,False,False,1.1488,1.0,1.601000972869324,1.601000972869324,True,warn,0.4705,0.3498,0.2194,True,False,1.0
garp,0.4529,0.047,106,4.0153846153846155e-05,True,0.08780000000000004,False,False,0.3107,1.0,0.9159804706733081,0.9159804706733081,False,weak,0.4529,0.3651,0.2775,True,False,1.0
rev_yoy,0.4476,0.0335,106,4.557142857142857e-05,True,0.04880000000000001,False,False,0.9198,1.0,1.212883348418285,1.212883348418285,True,warn,0.4476,0.3988,0.2179,True,True,1.0
cfp,0.4413,0.031,106,5.8e-05,True,0.07340000000000002,False,False,0.1464,1.0,1.077139576445855,1.077139576445855,False,weak,0.4413,0.3679,0.3792,True,True,1.0
gross_margin_trend,0.4289,0.0228,106,9.062500000000001e-05,True,0.11380000000000001,False,False,0.9737,1.0,1.2390040640285427,1.2390040640285427,True,warn,0.4289,0.3151,0.256,True,True,1.0
ep_vs_history,0.4281,0.0288,104,0.00010235294117647059,True,0.05030000000000001,True,False,2.7365,1.0,1.3030281278737086,1.3030281278737086,True,warn,0.4281,0.2735,0.1992,True,False,1.0
