factor,2012-2014,2015-2017,2018-2020,dir_consistent,seg_min_ratio,seg_stable_quant
ivol_60d,-0.6883,-0.9369,-0.43,True,0.6367540352435954,True
turn_20d,-0.636,-0.9067,-0.5444,True,0.7902453186238932,True
max_ret,-0.6253,-0.6182,-0.2634,True,0.5252243270189433,True
ret_1m,-0.5647,-0.549,-0.0317,True,0.08001009591115597,False
amihud,0.5257,0.443,0.5086,True,0.9009558673988204,True
ep_vs_history,0.4234,0.4871,0.354,True,0.8269096005606167,True
analyst_eps_revision,0.4231,0.3623,0.276,True,0.7834232188475732,True
boll_pct,-0.4212,-0.4014,0.0797,False,0.29984951091045897,False
vol_60d,-0.4094,-0.6206,-0.4145,True,0.853450072962268,True
piotroski_f,0.4081,0.8325,0.6506,True,0.664009111617312,True
rev_acceleration,0.3955,0.5503,0.8302,True,0.6891444502526574,True
roe_delta,0.371,0.6079,0.4907,True,0.7682750051770553,True
gross_margin_trend,0.3607,0.5116,0.4615,True,0.8409885754255072,True
rev_yoy,0.3565,0.4849,0.5123,True,0.7964700625558534,True
analyst_rating_chg,0.3547,-0.0413,0.0644,False,0.32140077821011676,False
np_yoy,0.3541,0.4857,0.5643,True,0.7526036131774708,True
macd_cross,-0.3504,-0.1514,-0.1489,True,0.676510676965016,True
ep_ttm,0.3161,0.7456,0.3428,True,0.6687116564417178,True
cfp,0.3096,0.6578,0.3223,True,0.7015635622025832,True
high_52w_v2,0.2923,0.1865,0.485,True,0.5682510664229129,True
holder_chg,0.2922,0.4534,0.3862,True,0.7701634159198735,True
roe_stability,0.2904,0.077,0.5912,True,0.23468454739408717,False
margin_ratio,0.2879,-0.2598,-0.4538,False,0.8302972195589644,True
rsi_12,-0.2874,-0.4026,0.025,False,0.10566356720202874,False
gross_margin,0.2727,0.4035,0.323,True,0.8186730711498048,True
rsi_6,-0.2621,-0.2353,0.1779,False,1.4041041831097079,True
obv_chg_20d,-0.2589,-0.5983,-0.142,True,0.426042604260426,False
bp,0.2561,0.5017,-0.1302,False,0.5994475138121548,True
garp,0.235,0.7167,0.4059,True,0.5188783395893133,True
q_roe,0.2348,0.7009,0.5458,True,0.48282952909726506,False
roe_delta_3q,0.2143,0.8003,0.6416,True,0.4137864452597026,False
float_pct_30d,-0.2133,-0.0488,-0.0805,True,0.4412296564195298,False
leverage,-0.1956,0.0226,-0.2694,False,0.14848883048620234,False
analyst_cnt_chg,0.1868,0.0573,0.4516,True,0.24146649810366622,False
insider_net_buy,-0.1793,0.1358,0.1842,False,2.9204301075268817,True
large_net_inflow,-0.1485,-0.0615,0.2358,False,3.0749999999999997,True
roa,0.1262,0.6469,0.4372,True,0.320630081300813,False
roe,0.118,0.5672,0.4293,True,0.3222282905516111,False
sp_ttm,0.1027,0.3938,-0.1506,False,0.7458242556281772,True
accrual,-0.1019,-0.3313,0.0094,False,0.06334231805929919,False
fcfp,0.1011,0.313,0.2968,True,0.4291171477079796,False
mom_6_1,-0.0999,-0.0491,0.2344,False,1.160756501182033,True
roe_smoothed_4q,0.0963,0.4646,0.3722,True,0.31573770491803277,False
ind_adj_mom_6_1,-0.0945,-0.0555,0.231,False,1.3669950738916257,True
eps_dispersion,-0.0806,0.1891,-0.1572,False,15.500000000000002,True
mom_risk_adj,-0.0734,0.1096,0.1546,False,1.1744,True
asset_turn,-0.0647,0.4026,0.3793,False,0.26099233561920127,False
high_52w,-0.0409,-0.2104,0.4146,False,0.7616387337057728,True
short_ratio,-0.0265,-0.2958,-0.3077,True,0.08812770202859993,False
pledge_ratio,0.0245,-0.003,-0.7004,False,0.011295180722891566,False
mom_consistency_6,-0.0088,0.1098,0.1617,False,0.10705596107055962,False
ind_adj_mom,-0.0081,0.0597,0.2928,False,0.06500802568218297,False
mom_12_1,0.0005,0.0622,0.2946,True,0.003869969040247678,False
hk_hold_chg,,0.3931,0.5823,False,0.7911048500704367,True
hk_hold_ratio,,1.1031,0.4346,False,0.750474874805733,True
