factor,icir_lag1,icir_lag2,icir_lag3,ic_decay_pass
accrual,-0.1484,-0.1551,-0.233,True
amihud,0.4917,0.4101,0.4075,True
analyst_eps_revision,0.3523,0.3195,0.2941,True
analyst_rating_chg,0.1285,0.2301,0.0029,True
asset_turn,0.2479,0.2042,0.1616,True
boll_pct,-0.2658,0.021,0.1232,False
bp,0.2172,0.1437,0.1541,True
cfp,0.4413,0.3679,0.3792,True
ep_ttm,0.4727,0.3712,0.3004,True
ep_vs_history,0.4281,0.2735,0.1992,True
fcfp,0.2356,0.1723,0.1929,True
float_pct_30d,-0.1106,-0.1027,-0.0621,True
garp,0.4529,0.3651,0.2775,True
gross_margin,0.3331,0.3358,0.2678,True
gross_margin_trend,0.4289,0.3151,0.256,True
high_52w,0.0537,0.2928,0.2489,True
high_52w_v2,0.3282,0.3273,0.393,True
hk_hold_chg,0.4969,0.338,0.1473,True
hk_hold_ratio,0.5791,0.4853,0.5226,True
holder_chg,0.3794,0.3161,0.256,True
ind_adj_mom,0.1246,0.1047,0.1787,True
ind_adj_mom_6_1,0.0406,0.0396,0.1659,True
insider_net_buy,0.0465,0.1385,0.1162,True
ivol_60d,-0.6753,-0.5134,-0.3972,True
large_net_inflow,0.02,0.0593,0.026,True
leverage,-0.1522,-0.1684,-0.1777,True
macd_cross,-0.2201,-0.0496,-0.0376,True
margin_ratio,-0.3129,-0.3181,-0.3166,True
max_ret,-0.5015,-0.4277,-0.4228,True
mom_12_1,0.1292,0.1063,0.1796,True
mom_6_1,0.0423,0.0446,0.1685,True
mom_consistency_6,0.0822,0.1502,0.2401,True
mom_risk_adj,0.0625,0.0779,0.156,True
np_yoy,0.4705,0.3498,0.2194,True
obv_chg_20d,-0.3333,-0.054,-0.0878,True
piotroski_f,0.6146,0.468,0.3976,True
pledge_ratio,-0.2656,-0.2708,-0.2834,True
q_roe,0.4863,0.3869,0.2631,True
ret_1m,-0.3962,0.0597,-0.0963,True
rev_yoy,0.4476,0.3988,0.2179,True
roa,0.3936,0.3414,0.2498,True
roe,0.3662,0.312,0.2173,True
roe_delta,0.4829,0.332,0.1744,True
roe_delta_3q,0.5179,0.2291,0.1142,True
roe_smoothed_4q,0.305,0.3038,0.2351,True
rsi_12,-0.2366,0.0433,0.0433,False
rsi_6,-0.1267,0.0839,0.0619,False
short_ratio,-0.3007,-0.2895,-0.1694,True
sp_ttm,0.1377,0.0823,0.0948,True
turn_20d,-0.6889,-0.5445,-0.497,True
vol_60d,-0.4797,-0.47,-0.3815,True
