factor,orig_ic_ir,lag1_ic_ir,lag2_ic_ir,lead1_ic_ir,lead_ratio,lead_warn,lead_reject,ic_ir_drop,diagnosis,lead_reverse,lagged_ic_ir,warning
high_52w,0.0537,0.2928,0.2489,2.02,37.6164,False,True,-0.2391,reverse,True,0.2928,True
short_ratio,-0.1359,-0.2623,0.0049,0.606,4.4592,False,True,-0.12639999999999998,reverse,True,-0.2623,True
analyst_rating_chg,0.1285,0.2301,0.0029,0.5782,4.4996,False,True,-0.1016,reverse,True,0.2301,True
insider_net_buy,0.0465,0.1385,0.1162,0.2671,0.0,False,False,-0.09200000000000001,no_drop,False,0.1385,False
mom_consistency_6,0.0822,0.1502,0.2401,-0.2778,3.3796,False,True,-0.068,no_drop,True,0.1502,True
large_net_inflow,0.02,0.0593,0.026,3.0859,0.0,False,False,-0.0393,no_drop,False,0.0593,False
leverage,-0.1522,-0.1684,-0.1777,-0.298,1.958,True,False,-0.016199999999999992,no_drop,False,-0.1684,False
mom_risk_adj,0.0625,0.0779,0.156,-0.3626,5.8016,False,True,-0.015399999999999997,no_drop,True,0.0779,True
accrual,-0.1484,-0.1551,-0.233,-0.2122,1.4299,False,False,-0.006699999999999984,no_drop,False,-0.1551,False
pledge_ratio,-0.2656,-0.2708,-0.2834,-0.2162,0.814,False,False,-0.005199999999999982,no_drop,False,-0.2708,False
gross_margin,0.3331,0.3358,0.2678,0.3607,1.0829,False,False,-0.00269999999999998,no_drop,False,0.3358,False
mom_6_1,0.0423,0.0446,0.1685,-0.38,0.0,False,False,-0.0023000000000000034,no_drop,False,0.0446,False
high_52w_v2,0.3282,0.3273,0.393,0.0302,0.092,False,False,0.0009000000000000119,no_drop,False,0.3273,False
ind_adj_mom_6_1,0.0406,0.0396,0.1659,-0.4013,0.0,False,False,0.000999999999999994,no_drop,False,0.0396,False
roe_smoothed_4q,0.305,0.3038,0.2351,0.2782,0.9121,False,False,0.0011999999999999789,no_drop,False,0.3038,False
float_pct_30d,-0.1106,-0.1027,-0.0621,0.0639,0.5778,False,False,0.007900000000000004,no_drop,False,-0.1027,False
vol_60d,-0.4797,-0.47,-0.3815,0.2347,0.4893,False,False,0.009700000000000042,no_drop,False,-0.47,False
ind_adj_mom,0.1246,0.1047,0.1787,-0.4055,3.2544,False,True,0.0199,no_drop,True,0.1047,True
margin_ratio,-0.2439,-0.224,-0.2264,-0.7298,2.9922,False,True,0.0199,no_drop,True,-0.224,True
