factor,factor_direction,n_valid_obs,ic_ir_12m,ic_ir_24m,ic_ir_36m,adj_ic_ir_12m,adj_ic_ir_24m,adj_ic_ir_36m,status,trend_flag,suggested_action
rev_acceleration,1.0,128,0.6432,0.7652,0.6782,0.6432,0.7652,0.6782,STABLE,OK,HOLD
turn_20d,-1.0,128,-0.8243,-0.7532,-0.5971,0.8243,0.7532,0.5971,STABLE,OK,HOLD
ivol_60d,-1.0,128,-0.804,-0.703,-0.5593,0.804,0.703,0.5593,STABLE,OK,HOLD
holder_chg,1.0,128,-0.0068,0.3525,0.2622,-0.0068,0.3525,0.2622,STABLE,DETERIORATING,HOLD|DETERIORATING
hk_hold_ratio,1.0,69,0.6301,0.3294,0.5059,0.6301,0.3294,0.5059,STABLE,OK,HOLD
roe_delta_3q,1.0,128,0.3683,0.3257,0.4439,0.3683,0.3257,0.4439,STABLE,OK,HOLD
analyst_eps_revision,1.0,128,0.3117,0.3098,0.2939,0.3117,0.3098,0.2939,STABLE,OK,HOLD
amihud,1.0,128,0.3152,0.2616,0.2331,0.3152,0.2616,0.2331,WEAK,OK,MONITOR
cfp,1.0,128,0.3761,0.2278,0.205,0.3761,0.2278,0.205,WEAK,OK,MONITOR
ep_ttm,1.0,128,0.1675,0.1731,0.2311,0.1675,0.1731,0.2311,WARN,OK,WATCH_CLOSELY
high_52w_v2,1.0,127,0.0956,0.123,0.26,0.0956,0.123,0.26,WARN,DETERIORATING,WATCH_CLOSELY|DETERIORATING
hk_hold_chg,1.0,68,0.2565,0.1225,0.2535,0.2565,0.1225,0.2535,WARN,OK,WATCH_CLOSELY
rev_yoy,1.0,128,-0.0183,-0.0709,0.2003,-0.0183,-0.0709,0.2003,REVERSE,DETERIORATING,REVIEW_REMOVAL|DETERIORATING
gross_margin,1.0,128,-0.2376,-0.0889,0.1418,-0.2376,-0.0889,0.1418,REVERSE,DETERIORATING,REVIEW_REMOVAL|DETERIORATING
q_roe,1.0,128,-0.2013,-0.0974,0.2571,-0.2013,-0.0974,0.2571,REVERSE,DETERIORATING,REVIEW_REMOVAL|DETERIORATING
roe_delta,1.0,128,-0.0439,-0.1099,0.1931,-0.0439,-0.1099,0.1931,REVERSE,DETERIORATING,REVIEW_REMOVAL|DETERIORATING
gross_margin_trend,1.0,128,-0.1155,-0.116,0.2519,-0.1155,-0.116,0.2519,REVERSE,DETERIORATING,REVIEW_REMOVAL|DETERIORATING
piotroski_f,1.0,128,-0.0028,-0.2673,0.0675,-0.0028,-0.2673,0.0675,REVERSE,OK,REVIEW_REMOVAL
