,O2
2012-01-04,1.0
2012-01-05,1.0
2012-01-06,1.0
2012-01-09,1.0
2012-01-10,1.0
2012-01-11,1.0
2012-01-12,1.0
2012-01-13,1.0
2012-01-16,1.0
2012-01-17,1.0
2012-01-18,1.0
2012-01-19,1.0
2012-01-20,1.0
2012-01-30,1.0
2012-01-31,1.0
2012-02-01,0.9922934193652029
2012-02-02,1.0088202432166558
2012-02-03,1.0244064768486185
2012-02-06,1.0345599790345765
2012-02-07,1.0118322893012688
2012-02-08,1.0364789277676594
2012-02-09,1.0464427465062769
2012-02-10,1.0577753690211413
2012-02-13,1.0658939912915864
2012-02-14,1.0696061209360386
2012-02-15,1.0851941013206867
2012-02-16,1.08614853026965
2012-02-17,1.079802406414139
2012-02-20,1.082567522338961
2012-02-21,1.0937339145677631
2012-02-22,1.1170585466351195
2012-02-23,1.126152552483141
2012-02-24,1.148584953308486
2012-02-27,1.152290358581508
2012-02-28,1.1540132051979257
2012-02-29,1.1313310179565317
2012-03-01,1.135934089873091
2012-03-02,1.162340001478691
2012-03-05,1.1656446183150557
2012-03-06,1.1522504606051016
2012-03-07,1.139778504801317
2012-03-08,1.1600411174958654
2012-03-09,1.1782449198296479
2012-03-12,1.1805183806555082
2012-03-13,1.193790579618913
2012-03-14,1.1471390841121845
2012-03-15,1.1338590670602846
2012-03-16,1.1595655579024498
2012-03-19,1.1734173937690044
2012-03-20,1.1540881162966343
2012-03-21,1.159129359286757
2012-03-22,1.15466803053277
2012-03-23,1.1284540622332768
2012-03-26,1.1251888288838257
2012-03-27,1.1224471825663598
2012-03-28,1.0765401029824937
2012-03-29,1.0623794785844636
2012-03-30,1.062768938566975
2012-04-05,1.090446085300525
2012-04-06,1.094802961115972
2012-04-09,1.0835214801232864
2012-04-10,1.0960966457639443
2012-04-11,1.1030239038760217
2012-04-12,1.1286505072528548
2012-04-13,1.1439289610508216
2012-04-16,1.151044243119927
2012-04-17,1.1285539109659046
2012-04-18,1.1558824113332595
2012-04-19,1.1517865295822018
2012-04-20,1.1621442368214896
2012-04-23,1.1541325136926555
2012-04-24,1.1549103922588453
2012-04-25,1.1769693706736875
2012-04-26,1.1641959784194604
2012-04-27,1.1486276085141447
2012-05-02,1.1652246116973513
2012-05-03,1.1650957431601159
2012-05-04,1.170849862645399
2012-05-07,1.1746621797280383
2012-05-08,1.1717339591297156
2012-05-09,1.1494912986229961
2012-05-10,1.1512703412679337
2012-05-11,1.1463728898199446
2012-05-14,1.1458914325606764
2012-05-15,1.146962074249023
2012-05-16,1.135604468432267
2012-05-17,1.151888367736994
2012-05-18,1.139234819686855
2012-05-21,1.1348276005057572
2012-05-22,1.1509280593094224
2012-05-23,1.1439330755953632
2012-05-24,1.1350256519264748
2012-05-25,1.1228575209312228
2012-05-28,1.1432539442885776
2012-05-29,1.1557826197901644
2012-05-30,1.1564425184188392
2012-05-31,1.1560701199619516
2012-06-01,1.1558798378479487
2012-06-04,1.1206795886255918
2012-06-05,1.1202892128937938
2012-06-06,1.117247419576071
2012-06-07,1.1169813052550743
2012-06-08,1.11684604178113
2012-06-11,1.1344605486984085
2012-06-12,1.1277850397563411
2012-06-13,1.145788637990521
2012-06-14,1.1389059428468382
2012-06-15,1.1355577215309987
2012-06-18,1.147065300090409
2012-06-19,1.139441878470542
2012-06-20,1.1368513390847335
