,lambda=0.0000
2012-01-04,1.0
2012-01-05,1.0
2012-01-06,1.0
2012-01-09,1.0
2012-01-10,1.0
2012-01-11,1.0
2012-01-12,1.0
2012-01-13,1.0
2012-01-16,1.0
2012-01-17,1.0
2012-01-18,1.0
2012-01-19,1.0
2012-01-20,1.0
2012-01-30,1.0
2012-01-31,1.0
2012-02-01,0.9923951148074498
2012-02-02,1.0092146302558243
2012-02-03,1.0254015017819078
2012-02-06,1.0352822918773004
2012-02-07,1.0127136108844554
2012-02-08,1.0378198125445561
2012-02-09,1.0489573285174163
2012-02-10,1.0612036470248625
2012-02-13,1.0693825466719102
2012-02-14,1.0728709696144187
2012-02-15,1.0879073294020405
2012-02-16,1.0883404796011424
2012-02-17,1.0828150806881558
2012-02-20,1.0851388104655868
2012-02-21,1.0969674033687573
2012-02-22,1.11929467413632
2012-02-23,1.1271074817690276
2012-02-24,1.1495097268240486
2012-02-27,1.1518915030492298
2012-02-28,1.15223271865874
2012-02-29,1.13003878381007
2012-03-01,1.1363103523188083
2012-03-02,1.1634865743941596
2012-03-05,1.1676291253125826
2012-03-06,1.1548038414901984
2012-03-07,1.1435760547569358
2012-03-08,1.16528846046229
2012-03-09,1.1823150578973691
2012-03-12,1.1838862421771457
2012-03-13,1.1973308628480888
2012-03-14,1.1488144947249164
2012-03-15,1.1341460897947602
2012-03-16,1.160254648678895
2012-03-19,1.1752015637108884
2012-03-20,1.1549479228263644
2012-03-21,1.159726149477218
2012-03-22,1.153987799287289
2012-03-23,1.1288566022797033
2012-03-26,1.1263009329134823
2012-03-27,1.1234138683223194
2012-03-28,1.0778272219995617
2012-03-29,1.0632203357162382
2012-03-30,1.0632502073799046
2012-04-05,1.0926667481020198
2012-04-06,1.0965490144286685
2012-04-09,1.0855844381663926
2012-04-10,1.0975820166007975
2012-04-11,1.1034088029172076
2012-04-12,1.1271250843754077
2012-04-13,1.1409941439441242
2012-04-16,1.145509013035028
2012-04-17,1.1252235064672287
2012-04-18,1.1512214309375177
2012-04-19,1.1505069145906672
2012-04-20,1.1601239168082895
2012-04-23,1.150269623372095
2012-04-24,1.149241815946562
2012-04-25,1.1687041238016749
2012-04-26,1.1568422648565608
2012-04-27,1.1428588329425087
2012-05-02,1.1590588536372828
2012-05-03,1.1597408872329007
2012-05-04,1.1661578163491058
2012-05-07,1.1706562986048343
2012-05-08,1.1685334580288738
2012-05-09,1.1465889845747104
2012-05-10,1.1493350680018088
2012-05-11,1.144464790954535
2012-05-14,1.1441407904961738
2012-05-15,1.1457199984374002
2012-05-16,1.1339650072896115
2012-05-17,1.1493341751394432
2012-05-18,1.1353568532830651
2012-05-21,1.1326236652798545
2012-05-22,1.1491436953181595
2012-05-23,1.1422080278767919
2012-05-24,1.133752410311063
2012-05-25,1.121587376220019
2012-05-28,1.1410275991235515
2012-05-29,1.15381349262955
2012-05-30,1.15468880893622
2012-05-31,1.1556076610908932
2012-06-01,1.155305755174688
2012-06-04,1.1197437771180037
2012-06-05,1.1192066123736895
2012-06-06,1.116166277021542
2012-06-07,1.1144808381144677
2012-06-08,1.1128867188365246
2012-06-11,1.1318574456079376
2012-06-12,1.1252084330685967
2012-06-13,1.14412347168987
2012-06-14,1.137088022352852
2012-06-15,1.133854825491558
2012-06-18,1.1449888921071496
2012-06-19,1.1373109606284366
